alpha,beta,mach,Cl_q [1/rad]
0.017453292519943295,0.03490658503988659,0.2,0.2908
0.026179938779914945,-0.03490658503988659,0.2,-0.1134
0.026179938779914945,-0.026179938779914945,0.2,-0.0
0.026179938779914945,-0.017453292519943295,0.2,0.1562
0.026179938779914945,-0.008726646259971648,0.2,0.3351
0.026179938779914945,0.0,0.2,0.0
0.026179938779914945,0.008726646259971648,0.2,-0.335
0.026179938779914945,0.017453292519943295,0.2,-0.1562
0.026179938779914945,0.026179938779914945,0.2,-0.0
0.026179938779914945,0.03490658503988659,0.2,0.1134
0.03490658503988659,-0.03490658503988659,0.2,-0.0
0.03490658503988659,-0.026179938779914945,0.2,0.1134
0.03490658503988659,-0.017453292519943295,0.2,0.2908
0.03490658503988659,-0.008726646259971648,0.2,0.3737
0.03490658503988659,0.0,0.2,-0.0
0.03490658503988659,0.008726646259971648,0.2,-0.3736
0.03490658503988659,0.017453292519943295,0.2,-0.2908
0.03490658503988659,0.026179938779914945,0.2,-0.1134
0.03490658503988659,0.03490658503988659,0.2,-0.0
-0.03490658503988659,-0.03490658503988659,0.3,-0.0
-0.03490658503988659,-0.026179938779914945,0.3,-0.102
-0.03490658503988659,-0.017453292519943295,0.3,-0.2608
-0.03490658503988659,-0.008726646259971648,0.3,-0.3234
-0.03490658503988659,0.0,0.3,-0.0
-0.03490658503988659,0.008726646259971648,0.3,0.3234
-0.03490658503988659,0.017453292519943295,0.3,0.2608
-0.03490658503988659,0.026179938779914945,0.3,0.102
-0.03490658503988659,0.03490658503988659,0.3,-0.0
-0.026179938779914945,-0.03490658503988659,0.3,0.102
-0.026179938779914945,-0.026179938779914945,0.3,-0.0
-0.026179938779914945,-0.017453292519943295,0.3,-0.1399
-0.026179938779914945,-0.008726646259971648,0.3,-0.2948
-0.026179938779914945,0.0,0.3,0.0
-0.026179938779914945,0.008726646259971648,0.3,0.2948
-0.026179938779914945,0.017453292519943295,0.3,0.1399
-0.026179938779914945,0.026179938779914945,0.3,-0.0
-0.026179938779914945,0.03490658503988659,0.3,-0.102
-0.017453292519943295,-0.03490658503988659,0.3,0.2608
-0.017453292519943295,-0.026179938779914945,0.3,0.1399
-0.017453292519943295,-0.017453292519943295,0.3,-0.0
-0.017453292519943295,-0.008726646259971648,0.3,-0.209
-0.017453292519943295,0.0,0.3,0.0
-0.017453292519943295,0.008726646259971648,0.3,0.209
-0.017453292519943295,0.017453292519943295,0.3,-0.0
-0.017453292519943295,0.026179938779914945,0.3,-0.1399
-0.017453292519943295,0.03490658503988659,0.3,-0.2608
-0.008726646259971648,-0.03490658503988659,0.3,0.3234
-0.008726646259971648,-0.026179938779914945,0.3,0.2948
-0.008726646259971648,-0.017453292519943295,0.3,0.209
-0.008726646259971648,-0.008726646259971648,0.3,-0.0
-0.008726646259971648,0.0,0.3,0.0
-0.008726646259971648,0.008726646259971648,0.3,0.0
-0.008726646259971648,0.017453292519943295,0.3,-0.209
-0.008726646259971648,0.026179938779914945,0.3,-0.2948
-0.008726646259971648,0.03490658503988659,0.3,-0.3234
0.0,-0.03490658503988659,0.3,0.0
0.0,-0.026179938779914945,0.3,0.0
0.0,-0.017453292519943295,0.3,-0.0
0.0,-0.008726646259971648,0.3,0.0
0.0,0.0,0.3,0.0
0.0,0.008726646259971648,0.3,-0.0
0.0,0.017453292519943295,0.3,-0.0
0.0,0.026179938779914945,0.3,-0.0
0.0,0.03490658503988659,0.3,-0.0
0.008726646259971648,-0.03490658503988659,0.3,-0.3234
0.008726646259971648,-0.026179938779914945,0.3,-0.2948
0.008726646259971648,-0.017453292519943295,0.3,-0.209
0.008726646259971648,-0.008726646259971648,0.3,-0.0
0.008726646259971648,0.0,0.3,0.0
0.008726646259971648,0.008726646259971648,0.3,-0.0
0.008726646259971648,0.017453292519943295,0.3,0.209
0.008726646259971648,0.026179938779914945,0.3,0.2948
0.008726646259971648,0.03490658503988659,0.3,0.3234
0.017453292519943295,-0.03490658503988659,0.3,-0.2608
0.017453292519943295,-0.026179938779914945,0.3,-0.1399
0.017453292519943295,-0.017453292519943295,0.3,-0.0
0.017453292519943295,-0.008726646259971648,0.3,0.209
0.017453292519943295,0.0,0.3,0.0
0.017453292519943295,0.008726646259971648,0.3,-0.209
0.017453292519943295,0.017453292519943295,0.3,-0.0
0.017453292519943295,0.026179938779914945,0.3,0.1399
0.017453292519943295,0.03490658503988659,0.3,0.2608
0.026179938779914945,-0.03490658503988659,0.3,-0.102
0.026179938779914945,-0.026179938779914945,0.3,-0.0
0.026179938779914945,-0.017453292519943295,0.3,0.1399
0.026179938779914945,-0.008726646259971648,0.3,0.2948
0.026179938779914945,0.0,0.3,0.0
0.026179938779914945,0.008726646259971648,0.3,-0.2948
0.026179938779914945,0.017453292519943295,0.3,-0.1399
0.026179938779914945,0.026179938779914945,0.3,-0.0
0.026179938779914945,0.03490658503988659,0.3,0.102
0.03490658503988659,-0.03490658503988659,0.3,-0.0
0.03490658503988659,-0.026179938779914945,0.3,0.102
0.03490658503988659,-0.017453292519943295,0.3,0.2608
0.03490658503988659,-0.008726646259971648,0.3,0.3234
0.03490658503988659,0.0,0.3,-0.0
0.03490658503988659,0.008726646259971648,0.3,-0.3233
0.03490658503988659,0.017453292519943295,0.3,-0.2608
