alpha,beta,mach,Cmp [1/rad]
-0.017453292519943295,-0.026179938779914945,0.5,2.6621
-0.017453292519943295,-0.017453292519943295,0.5,3.5432
-0.017453292519943295,-0.008726646259971648,0.5,4.1106
-0.017453292519943295,0.0,0.5,4.3021
-0.017453292519943295,0.008726646259971648,0.5,4.1122
-0.017453292519943295,0.017453292519943295,0.5,3.5432
-0.017453292519943295,0.026179938779914945,0.5,2.6544
-0.017453292519943295,0.03490658503988659,0.5,1.62
-0.008726646259971648,-0.03490658503988659,0.5,0.8252
-0.008726646259971648,-0.026179938779914945,0.5,1.4013
-0.008726646259971648,-0.017453292519943295,0.5,1.8539
-0.008726646259971648,-0.008726646259971648,0.5,2.1521
-0.008726646259971648,0.0,0.5,2.2621
-0.008726646259971648,0.008726646259971648,0.5,2.1521
-0.008726646259971648,0.017453292519943295,0.5,1.8501
-0.008726646259971648,0.026179938779914945,0.5,1.3874
-0.008726646259971648,0.03490658503988659,0.5,0.7939
0.0,-0.03490658503988659,0.5,0.0171
0.0,-0.026179938779914945,0.5,0.0081
0.0,-0.017453292519943295,0.5,0.0026
0.0,-0.008726646259971648,0.5,0.0004
0.0,0.0,0.5,0.0
0.0,0.008726646259971648,0.5,-0.0004
0.0,0.017453292519943295,0.5,-0.0026
0.0,0.026179938779914945,0.5,-0.0081
0.0,0.03490658503988659,0.5,-0.0171
0.008726646259971648,-0.03490658503988659,0.5,-0.7939
0.008726646259971648,-0.026179938779914945,0.5,-1.3874
0.008726646259971648,-0.017453292519943295,0.5,-1.8501
0.008726646259971648,-0.008726646259971648,0.5,-2.1521
0.008726646259971648,0.0,0.5,-2.2621
0.008726646259971648,0.008726646259971648,0.5,-2.1521
0.008726646259971648,0.017453292519943295,0.5,-1.8539
0.008726646259971648,0.026179938779914945,0.5,-1.4013
0.008726646259971648,0.03490658503988659,0.5,-0.8252
0.017453292519943295,-0.03490658503988659,0.5,-1.62
0.017453292519943295,-0.026179938779914945,0.5,-2.6543
0.017453292519943295,-0.017453292519943295,0.5,-3.5432
0.017453292519943295,-0.008726646259971648,0.5,-4.1122
0.017453292519943295,0.0,0.5,-4.302
0.017453292519943295,0.008726646259971648,0.5,-4.1106
0.017453292519943295,0.017453292519943295,0.5,-3.5432
0.017453292519943295,0.026179938779914945,0.5,-2.6621
0.017453292519943295,0.03490658503988659,0.5,-1.6431
0.026179938779914945,-0.03490658503988659,0.5,-2.4816
0.026179938779914945,-0.026179938779914945,0.5,-3.7758
0.026179938779914945,-0.017453292519943295,0.5,-4.9159
0.026179938779914945,-0.008726646259971648,0.5,-5.6929
0.026179938779914945,0.0,0.5,-5.96
0.026179938779914945,0.008726646259971648,0.5,-5.6896
0.026179938779914945,0.017453292519943295,0.5,-4.9117
0.026179938779914945,0.026179938779914945,0.5,-3.7759
0.026179938779914945,0.03490658503988659,0.5,-2.4931
0.03490658503988659,-0.03490658503988659,0.5,-3.3938
0.03490658503988659,-0.026179938779914945,0.5,-4.7417
0.03490658503988659,-0.017453292519943295,0.5,-5.9255
0.03490658503988659,-0.008726646259971648,0.5,-6.7661
0.03490658503988659,0.0,0.5,-7.0837
0.03490658503988659,0.008726646259971648,0.5,-6.7617
0.03490658503988659,0.017453292519943295,0.5,-5.9182
0.03490658503988659,0.026179938779914945,0.5,-4.7352
0.03490658503988659,0.03490658503988659,0.5,-3.3938
-0.03490658503988659,-0.03490658503988659,0.6,3.3733
-0.03490658503988659,-0.026179938779914945,0.6,4.7102
-0.03490658503988659,-0.017453292519943295,0.6,5.8881
-0.03490658503988659,-0.008726646259971648,0.6,6.7274
-0.03490658503988659,0.0,0.6,7.0476
-0.03490658503988659,0.008726646259971648,0.6,6.7317
-0.03490658503988659,0.017453292519943295,0.6,5.8953
-0.03490658503988659,0.026179938779914945,0.6,4.7167
-0.03490658503988659,0.03490658503988659,0.6,3.3733
-0.026179938779914945,-0.03490658503988659,0.6,2.4786
-0.026179938779914945,-0.026179938779914945,0.6,3.7561
-0.026179938779914945,-0.017453292519943295,0.6,4.887
-0.026179938779914945,-0.008726646259971648,0.6,5.6612
-0.026179938779914945,0.0,0.6,5.9303
-0.026179938779914945,0.008726646259971648,0.6,5.6644
-0.026179938779914945,0.017453292519943295,0.6,4.8912
-0.026179938779914945,0.026179938779914945,0.6,3.7561
-0.026179938779914945,0.03490658503988659,0.6,2.4671
-0.017453292519943295,-0.03490658503988659,0.6,1.6337
-0.017453292519943295,-0.026179938779914945,0.6,2.6479
-0.017453292519943295,-0.017453292519943295,0.6,3.5251
-0.017453292519943295,-0.008726646259971648,0.6,4.0905
-0.017453292519943295,0.0,0.6,4.2812
-0.017453292519943295,0.008726646259971648,0.6,4.0921
-0.017453292519943295,0.017453292519943295,0.6,3.5251
-0.017453292519943295,0.026179938779914945,0.6,2.6402
