alpha,beta,mach,Cl_p [1/rad]
0.017453292519943295,-0.03490658503988659,0.2,-29.1263
0.017453292519943295,-0.026179938779914945,0.2,-28.6991
0.017453292519943295,-0.017453292519943295,0.2,-28.3738
0.017453292519943295,-0.008726646259971648,0.2,-28.1792
0.017453292519943295,0.0,0.2,-28.1203
0.017453292519943295,0.008726646259971648,0.2,-28.1795
0.017453292519943295,0.017453292519943295,0.2,-28.3738
0.017453292519943295,0.026179938779914945,0.2,-28.6982
0.017453292519943295,0.03490658503988659,0.2,-29.1243
0.026179938779914945,-0.03490658503988659,0.2,-29.2998
0.026179938779914945,-0.026179938779914945,0.2,-28.9483
0.026179938779914945,-0.017453292519943295,0.2,-28.6982
0.026179938779914945,-0.008726646259971648,0.2,-28.5516
0.026179938779914945,0.0,0.2,-28.5004
0.026179938779914945,0.008726646259971648,0.2,-28.5523
0.026179938779914945,0.017453292519943295,0.2,-28.6991
0.026179938779914945,0.026179938779914945,0.2,-28.9483
0.026179938779914945,0.03490658503988659,0.2,-29.2984
0.03490658503988659,-0.03490658503988659,0.2,-29.55
0.03490658503988659,-0.026179938779914945,0.2,-29.2984
0.03490658503988659,-0.017453292519943295,0.2,-29.1243
0.03490658503988659,-0.008726646259971648,0.2,-29.017
0.03490658503988659,0.0,0.2,-28.9813
0.03490658503988659,0.008726646259971648,0.2,-29.0185
0.03490658503988659,0.017453292519943295,0.2,-29.1263
0.03490658503988659,0.026179938779914945,0.2,-29.2998
0.03490658503988659,0.03490658503988659,0.2,-29.55
-0.03490658503988659,-0.03490658503988659,0.3,-29.9084
-0.03490658503988659,-0.026179938779914945,0.3,-29.6614
-0.03490658503988659,-0.017453292519943295,0.3,-29.482
-0.03490658503988659,-0.008726646259971648,0.3,-29.3707
-0.03490658503988659,0.0,0.3,-29.3321
-0.03490658503988659,0.008726646259971648,0.3,-29.3692
-0.03490658503988659,0.017453292519943295,0.3,-29.4799
-0.03490658503988659,0.026179938779914945,0.3,-29.6599
-0.03490658503988659,0.03490658503988659,0.3,-29.9084
-0.026179938779914945,-0.03490658503988659,0.3,-29.6599
-0.026179938779914945,-0.026179938779914945,0.3,-29.3019
-0.026179938779914945,-0.017453292519943295,0.3,-29.0465
-0.026179938779914945,-0.008726646259971648,0.3,-28.8947
-0.026179938779914945,0.0,0.3,-28.8413
-0.026179938779914945,0.008726646259971648,0.3,-28.894
-0.026179938779914945,0.017453292519943295,0.3,-29.0455
-0.026179938779914945,0.026179938779914945,0.3,-29.3019
-0.026179938779914945,0.03490658503988659,0.3,-29.6614
-0.017453292519943295,-0.03490658503988659,0.3,-29.4799
-0.017453292519943295,-0.026179938779914945,0.3,-29.0455
-0.017453292519943295,-0.017453292519943295,0.3,-28.7141
-0.017453292519943295,-0.008726646259971648,0.3,-28.5154
-0.017453292519943295,0.0,0.3,-28.4542
-0.017453292519943295,0.008726646259971648,0.3,-28.5152
-0.017453292519943295,0.017453292519943295,0.3,-28.7141
-0.017453292519943295,0.026179938779914945,0.3,-29.0465
-0.017453292519943295,0.03490658503988659,0.3,-29.482
-0.008726646259971648,-0.03490658503988659,0.3,-29.3692
-0.008726646259971648,-0.026179938779914945,0.3,-28.894
-0.008726646259971648,-0.017453292519943295,0.3,-28.5152
-0.008726646259971648,-0.008726646259971648,0.3,-28.273
-0.008726646259971648,0.0,0.3,-28.1879
-0.008726646259971648,0.008726646259971648,0.3,-28.273
-0.008726646259971648,0.017453292519943295,0.3,-28.5155
