alpha,beta,mach,Cmq [1/rad]
-0.03490658503988659,0.017453292519943295,0.3,897.4741
-0.03490658503988659,0.026179938779914945,0.3,795.0428
-0.03490658503988659,0.03490658503988659,0.3,709.5366
-0.026179938779914945,-0.03490658503988659,0.3,616.3357
-0.026179938779914945,-0.026179938779914945,0.3,713.8314
-0.026179938779914945,-0.017453292519943295,0.3,829.0115
-0.026179938779914945,-0.008726646259971648,0.3,961.6558
-0.026179938779914945,0.0,0.3,-1056.4877
-0.026179938779914945,0.008726646259971648,0.3,961.656
-0.026179938779914945,0.017453292519943295,0.3,829.0113
-0.026179938779914945,0.026179938779914945,0.3,713.8313
-0.026179938779914945,0.03490658503988659,0.3,616.3356
-0.017453292519943295,-0.03490658503988659,0.3,462.8125
-0.017453292519943295,-0.026179938779914945,0.3,575.0015
-0.017453292519943295,-0.017453292519943295,0.3,715.0352
-0.017453292519943295,-0.008726646259971648,0.3,892.8283
-0.017453292519943295,0.0,0.3,-1070.2537
-0.017453292519943295,0.008726646259971648,0.3,892.8281
-0.017453292519943295,0.017453292519943295,0.3,715.035
-0.017453292519943295,0.026179938779914945,0.3,575.0013
-0.017453292519943295,0.03490658503988659,0.3,462.8125
-0.008726646259971648,-0.03490658503988659,0.3,236.3966
-0.008726646259971648,-0.026179938779914945,0.3,321.5248
-0.008726646259971648,-0.017453292519943295,0.3,464.581
-0.008726646259971648,-0.008726646259971648,0.3,712.9346
-0.008726646259971648,0.0,0.3,-1084.6272
-0.008726646259971648,0.008726646259971648,0.3,712.9344
-0.008726646259971648,0.017453292519943295,0.3,464.5808
-0.008726646259971648,0.026179938779914945,0.3,321.5249
-0.008726646259971648,0.03490658503988659,0.3,236.3965
0.0,-0.03490658503988659,0.3,-47.95
0.0,-0.026179938779914945,0.3,-48.0085
0.0,-0.017453292519943295,0.3,-48.0681
0.0,-0.008726646259971648,0.3,-48.1239
0.0,0.0,0.3,-1099.0662
0.0,0.008726646259971648,0.3,-48.124
0.0,0.017453292519943295,0.3,-48.0682
0.0,0.026179938779914945,0.3,-48.0085
