alpha,beta,mach,CLr [1/rad]
-0.008726646259971648,0.0,0.01,-2.604300832428328
-0.008726646259971648,0.008726646259971648,0.01,134.52967732705366
-0.008726646259971648,0.017453292519943295,0.01,163.9253579869865
-0.008726646259971648,0.026179938779914945,0.01,173.5519914203253
-0.008726646259971648,0.03490658503988659,0.01,177.49214138577503
0.0,-0.03490658503988659,0.01,-185.5798
0.0,-0.026179938779914945,0.01,-185.9089
0.0,-0.017453292519943295,0.01,-186.1443
0.0,-0.008726646259971648,0.01,-186.3162
0.0,0.0,0.01,-0.0
0.0,0.008726646259971648,0.01,186.3161
0.0,0.017453292519943295,0.01,186.1443
0.0,0.026179938779914945,0.01,185.9088
0.0,0.03490658503988659,0.01,185.5797
0.008726646259971648,-0.03490658503988659,0.01,-177.49214138577503
0.008726646259971648,-0.026179938779914945,0.01,-173.5519914203253
0.008726646259971648,-0.017453292519943295,0.01,-163.9253579869865
0.008726646259971648,-0.008726646259971648,0.01,-134.52967732705366
0.008726646259971648,0.0,0.01,2.604300832428328
0.008726646259971648,0.008726646259971648,0.01,134.52967732705366
0.008726646259971648,0.017453292519943295,0.01,166.23087019680327
0.008726646259971648,0.026179938779914945,0.01,177.1285552305489
0.008726646259971648,0.03490658503988659,0.01,181.25409813653476
0.017453292519943295,-0.03490658503988659,0.01,-163.51369227910303
0.017453292519943295,-0.026179938779914945,0.01,-153.6277981780137
0.017453292519943295,-0.017453292519943295,0.01,-134.30594143865548
0.017453292519943295,-0.008726646259971648,0.01,-87.5599621622392
0.017453292519943295,0.0,0.01,5.074227052918686
0.017453292519943295,0.008726646259971648,0.01,92.76706897384416
0.017453292519943295,0.017453292519943295,0.01,134.30594143865548
0.017453292519943295,0.026179938779914945,0.01,155.25125088063913
0.017453292519943295,0.03490658503988659,0.01,166.97456509111734
0.026179938779914945,-0.03490658503988659,0.01,-149.29622237605454
0.026179938779914945,-0.026179938779914945,0.01,-134.02425749093797
0.026179938779914945,-0.017453292519943295,0.01,-106.55427399500464
0.026179938779914945,-0.008726646259971648,0.01,-59.95804683177896
0.026179938779914945,0.0,0.01,7.32318966557344
0.026179938779914945,0.008726646259971648,0.01,69.8371603458499
0.026179938779914945,0.017453292519943295,0.01,110.93627187903499
0.026179938779914945,0.026179938779914945,0.01,134.02425749093797
0.026179938779914945,0.03490658503988659,0.01,149.6811904119026
0.03490658503988659,-0.03490658503988659,0.01,-133.70000392485517
0.03490658503988659,-0.026179938779914945,0.01,-114.00430932321093
0.03490658503988659,-0.017453292519943295,0.01,-84.49309771399865
0.03490658503988659,-0.008726646259971648,0.01,-42.65969702488901
0.03490658503988659,0.0,0.01,9.282342001353362
0.03490658503988659,0.008726646259971648,0.01,57.061918233061206
0.03490658503988659,0.017453292519943295,0.01,93.66100946565832
0.03490658503988659,0.026179938779914945,0.01,117.10471948587227
0.03490658503988659,0.03490658503988659,0.01,133.70000392485517
-0.03490658503988659,-0.03490658503988659,0.1,-133.71369557918533
-0.03490658503988659,-0.026179938779914945,0.1,-117.09502539485018
-0.03490658503988659,-0.017453292519943295,0.1,-93.63022822818613
-0.03490658503988659,-0.008726646259971648,0.1,-57.02034357465721
-0.03490658503988659,0.0,0.1,-9.23676977964129
-0.03490658503988659,0.008726646259971648,0.1,42.66799196875328
-0.03490658503988659,0.017453292519943295,0.1,84.49969369345696
-0.03490658503988659,0.026179938779914945,0.1,114.01400341423302
-0.03490658503988659,0.03490658503988659,0.1,133.71369557918533
-0.026179938779914945,-0.03490658503988659,0.1,-149.7194772874492
-0.026179938779914945,-0.026179938779914945,0.1,-134.03725303616264
-0.026179938779914945,-0.017453292519943295,0.1,-110.92087715623036
