alpha,beta,mach,CDr [1/rad]
0.008726646259971648,0.008726646259971648,0.2,-0.18707184488415618
0.008726646259971648,0.017453292519943295,0.2,-0.48097803976157216
0.008726646259971648,0.026179938779914945,0.2,-0.6817951516127889
0.008726646259971648,0.03490658503988659,0.2,-0.8596948723559272
0.017453292519943295,-0.03490658503988659,0.2,1.1444107646134727
0.017453292519943295,-0.026179938779914945,0.2,0.7596131808297928
0.017453292519943295,-0.017453292519943295,0.2,0.3487108428296706
0.017453292519943295,-0.008726646259971648,0.2,0.09379405688819342
0.017453292519943295,0.0,0.2,0.08653601207862657
0.017453292519943295,0.008726646259971648,0.2,-0.0009671359289076253
0.017453292519943295,0.017453292519943295,0.2,-0.40521300867037624
0.017453292519943295,0.026179938779914945,0.2,-0.7387976006018051
0.017453292519943295,0.03490658503988659,0.2,-0.9885062074686832
0.026179938779914945,-0.03490658503988659,0.2,0.9112412316041132
0.026179938779914945,-0.026179938779914945,0.2,0.5395534493002567
0.026179938779914945,-0.017453292519943295,0.2,0.2704550666350234
0.026179938779914945,-0.008726646259971648,0.2,0.14797868944137282
0.026179938779914945,0.0,0.2,0.18774107326406625
0.026179938779914945,0.008726646259971648,0.2,0.12266951354560063
0.026179938779914945,0.017453292519943295,0.2,-0.184954742197462
0.026179938779914945,0.026179938779914945,0.2,-0.6607501022708786
0.026179938779914945,0.03490658503988659,0.2,-1.0155130535957615
0.03490658503988659,-0.03490658503988659,0.2,0.7347656672998655
0.03490658503988659,-0.026179938779914945,0.2,0.4800926374955221
0.03490658503988659,-0.017453292519943295,0.2,0.31557161113749954
0.03490658503988659,-0.008726646259971648,0.2,0.2644630797368075
0.03490658503988659,0.0,0.2,0.31802864360088057
0.03490658503988659,0.008726646259971648,0.2,0.2502772043182333
0.03490658503988659,0.017453292519943295,0.2,0.0053970871609916315
0.03490658503988659,0.026179938779914945,0.2,-0.4840097864219013
0.03490658503988659,0.03490658503988659,0.2,-0.9563425718640444
-0.03490658503988659,-0.03490658503988659,0.3,0.7292688000604284
-0.03490658503988659,-0.026179938779914945,0.3,0.7096533312196218
-0.03490658503988659,-0.017453292519943295,0.3,0.7501208995941449
-0.03490658503988659,-0.008726646259971648,0.3,0.5979108471395962
-0.03490658503988659,0.0,0.3,0.3095515558518431
-0.03490658503988659,0.008726646259971648,0.3,-0.08911709765088438
-0.03490658503988659,0.017453292519943295,0.3,-0.4343650007473996
-0.03490658503988659,0.026179938779914945,0.3,-0.7159849001269829
-0.03490658503988659,0.03490658503988659,0.3,-0.9524964508186353
-0.026179938779914945,-0.03490658503988659,0.3,0.6727614035625775
-0.026179938779914945,-0.026179938779914945,0.3,0.5372483613677286
-0.026179938779914945,-0.017453292519943295,0.3,0.5638200728944729
-0.026179938779914945,-0.008726646259971648,0.3,0.47298069726589054
-0.026179938779914945,0.0,0.3,0.18220464869695108
-0.026179938779914945,0.008726646259971648,0.3,-0.20547621655965576
-0.026179938779914945,0.017453292519943295,0.3,-0.4803322187434782
-0.026179938779914945,0.026179938779914945,0.3,-0.6591884396702943
-0.026179938779914945,0.03490658503988659,0.3,-0.7803542346966608
-0.017453292519943295,-0.03490658503988659,0.3,0.7006753783166708
-0.017453292519943295,-0.026179938779914945,0.3,0.4619174092597582
-0.017453292519943295,-0.017453292519943295,0.3,0.3480285827990506
-0.017453292519943295,-0.008726646259971648,0.3,0.35194785031107556
-0.017453292519943295,0.0,0.3,0.08375409849252358
-0.017453292519943295,0.008726646259971648,0.3,-0.2604838815530923
-0.017453292519943295,0.017453292519943295,0.3,-0.4047960252176026
-0.017453292519943295,0.026179938779914945,0.3,-0.4435977365756574
-0.017453292519943295,0.03490658503988659,0.3,-0.5513710240405447
-0.008726646259971648,-0.03490658503988659,0.3,0.8290655885921685
-0.008726646259971648,-0.026179938779914945,0.3,0.5194750009317606
-0.008726646259971648,-0.017453292519943295,0.3,0.2747088278049541
-0.008726646259971648,-0.008726646259971648,0.3,0.16959814482457092
-0.008726646259971648,0.0,0.3,0.021404446270411586
-0.008726646259971648,0.008726646259971648,0.3,-0.18704248928582046
-0.008726646259971648,0.017453292519943295,0.3,-0.2225686586672888
-0.008726646259971648,0.026179938779914945,0.3,-0.35646564914397594
-0.008726646259971648,0.03490658503988659,0.3,-0.5260570613329574
0.0,-0.03490658503988659,0.3,1.041669707727238
0.0,-0.026179938779914945,0.3,0.7206592400002403
0.0,-0.017453292519943295,0.3,0.4321425262748645
0.0,-0.008726646259971648,0.3,0.19104742370525105
0.0,0.0,0.3,-0.0
0.0,0.008726646259971648,0.3,-0.16568287562567738
0.0,0.017453292519943295,0.3,-0.3214000264677257
0.0,0.026179938779914945,0.3,-0.47819002090890367
0.0,0.03490658503988659,0.3,-0.6457977367314292
