alpha,beta,mach,CDp [1/rad]
-0.017453292519943295,0.017453292519943295,0.75,0.018459749667655633
-0.017453292519943295,0.03490658503988659,0.75,0.034798158579175224
0.0,-0.03490658503988659,0.75,0.03690272781322452
0.0,-0.017453292519943295,0.75,0.011258547392691593
0.0,0.0,0.75,-0.0
0.0,0.017453292519943295,0.75,0.011258547392691593
0.0,0.03490658503988659,0.75,0.03690272781322452
0.017453292519943295,-0.03490658503988659,0.75,0.034798158579175224
0.017453292519943295,-0.017453292519943295,0.75,0.018459749667655633
0.017453292519943295,0.0,0.75,0.011258547392691593
0.017453292519943295,0.017453292519943295,0.75,0.018459749667655633
0.017453292519943295,0.03490658503988659,0.75,0.0348958500602176
0.03490658503988659,-0.03490658503988659,0.75,0.03443531151904715
0.03490658503988659,-0.017453292519943295,0.75,0.03489370444153023
0.03490658503988659,0.0,0.75,0.03690272781322452
0.03490658503988659,0.017453292519943295,0.75,0.03479598266016934
0.03490658503988659,0.03490658503988659,0.75,0.03443531151904715
-0.03490658503988659,-0.03490658503988659,1,0.029390381381606198
-0.03490658503988659,-0.017453292519943295,1,0.03062070727939508
-0.03490658503988659,0.0,1,0.03287532589375591
-0.03490658503988659,0.017453292519943295,1,0.030706214502556763
-0.03490658503988659,0.03490658503988659,1,0.029390381381606198
-0.017453292519943295,-0.03490658503988659,1,0.03070819271599156
-0.017453292519943295,-0.017453292519943295,1,0.016442405120878367
-0.017453292519943295,0.0,1,0.010089236161393598
-0.017453292519943295,0.017453292519943295,1,0.016442405120878367
-0.017453292519943295,0.03490658503988659,1,0.03062271366676053
0.0,-0.03490658503988659,1,0.03287532589375591
0.0,-0.017453292519943295,1,0.010089236161393598
0.0,0.0,1,-0.0
0.0,0.017453292519943295,1,0.010089236161393598
0.0,0.03490658503988659,1,0.03287532589375591
0.017453292519943295,-0.03490658503988659,1,0.03062271366676053
0.017453292519943295,-0.017453292519943295,1,0.016442405120878367
0.017453292519943295,0.0,1,0.010089236161393598
0.017453292519943295,0.017453292519943295,1,0.016442405120878367
0.017453292519943295,0.03490658503988659,1,0.03070819271599156
0.03490658503988659,-0.03490658503988659,1,0.029390381381606198
0.03490658503988659,-0.017453292519943295,1,0.030706214502556763
0.03490658503988659,0.0,1,0.03287532589375591
0.03490658503988659,0.017453292519943295,1,0.03062070727939508
0.03490658503988659,0.03490658503988659,1,0.029390381381606198
