alpha,beta,mach,Cnq [1/rad]
0.0,-0.026179938779914945,0.2,-1083.6053
0.0,-0.017453292519943295,0.2,-1072.6818
0.0,-0.008726646259971648,0.2,-1060.2225
0.0,0.0,0.2,0.0
0.0,0.008726646259971648,0.2,1060.2227
0.0,0.017453292519943295,0.2,1072.6818
0.0,0.026179938779914945,0.2,1083.6053
0.0,0.03490658503988659,0.2,1092.4968
0.008726646259971648,-0.03490658503988659,0.2,-1041.4762
0.008726646259971648,-0.026179938779914945,0.2,-1007.2576
0.008726646259971648,-0.017453292519943295,0.2,-938.8606
0.008726646259971648,-0.008726646259971648,0.2,-760.2678
0.008726646259971648,0.0,0.2,-0.0
0.008726646259971648,0.008726646259971648,0.2,760.268
0.008726646259971648,0.017453292519943295,0.2,938.8607
0.008726646259971648,0.026179938779914945,0.2,1007.2578
0.008726646259971648,0.03490658503988659,0.2,1041.4762
0.017453292519943295,-0.03490658503988659,0.2,-944.4329
0.017453292519943295,-0.026179938779914945,0.2,-876.306
0.017453292519943295,-0.017453292519943295,0.2,-762.9638
0.017453292519943295,-0.008726646259971648,0.2,-512.9937
0.017453292519943295,0.0,0.2,0.0001
0.017453292519943295,0.008726646259971648,0.2,512.9938
0.017453292519943295,0.017453292519943295,0.2,762.964
0.017453292519943295,0.026179938779914945,0.2,876.306
0.017453292519943295,0.03490658503988659,0.2,944.4329
0.026179938779914945,-0.03490658503988659,0.2,-843.1871
0.026179938779914945,-0.026179938779914945,0.2,-762.3349
0.026179938779914945,-0.017453292519943295,0.2,-623.8298
0.026179938779914945,-0.008726646259971648,0.2,-370.1109
0.026179938779914945,0.0,0.2,0.0001
0.026179938779914945,0.008726646259971648,0.2,370.111
0.026179938779914945,0.017453292519943295,0.2,623.83
0.026179938779914945,0.026179938779914945,0.2,762.335
0.026179938779914945,0.03490658503988659,0.2,843.1871
0.03490658503988659,-0.03490658503988659,0.2,-758.6005
0.03490658503988659,-0.026179938779914945,0.2,-665.5981
0.03490658503988659,-0.017453292519943295,0.2,-512.0314
0.03490658503988659,-0.008726646259971648,0.2,-285.1373
0.03490658503988659,0.0,0.2,0.0001
0.03490658503988659,0.008726646259971648,0.2,285.1373
0.03490658503988659,0.017453292519943295,0.2,512.0317
0.03490658503988659,0.026179938779914945,0.2,665.5981
0.03490658503988659,0.03490658503988659,0.2,758.6007
-0.03490658503988659,-0.03490658503988659,0.3,-757.194
-0.03490658503988659,-0.026179938779914945,0.3,-664.1299
-0.03490658503988659,-0.017453292519943295,0.3,-510.718
-0.03490658503988659,-0.008726646259971648,0.3,-284.3539
-0.03490658503988659,0.0,0.3,0.0001
-0.03490658503988659,0.008726646259971648,0.3,284.3538
-0.03490658503988659,0.017453292519943295,0.3,510.718
-0.03490658503988659,0.026179938779914945,0.3,664.13
-0.03490658503988659,0.03490658503988659,0.3,757.1942
-0.026179938779914945,-0.03490658503988659,0.3,-842.5347
-0.026179938779914945,-0.026179938779914945,0.3,-761.467
-0.026179938779914945,-0.017453292519943295,0.3,-622.8314
-0.026179938779914945,-0.008726646259971648,0.3,-369.494
-0.026179938779914945,0.0,0.3,0.0001
-0.026179938779914945,0.008726646259971648,0.3,369.4939
-0.026179938779914945,0.017453292519943295,0.3,622.8314
-0.026179938779914945,0.026179938779914945,0.3,761.4671
-0.026179938779914945,0.03490658503988659,0.3,842.5347
-0.017453292519943295,-0.03490658503988659,0.3,-944.8071
-0.017453292519943295,-0.026179938779914945,0.3,-876.4177
-0.017453292519943295,-0.017453292519943295,0.3,-762.6475
-0.017453292519943295,-0.008726646259971648,0.3,-512.4984
-0.017453292519943295,0.0,0.3,0.0001
-0.017453292519943295,0.008726646259971648,0.3,512.4984
-0.017453292519943295,0.017453292519943295,0.3,762.6476
-0.017453292519943295,0.026179938779914945,0.3,876.4178
-0.017453292519943295,0.03490658503988659,0.3,944.8073
-0.008726646259971648,-0.03490658503988659,0.3,-1043.2405
-0.008726646259971648,-0.026179938779914945,0.3,-1008.8587
-0.008726646259971648,-0.017453292519943295,0.3,-940.0823
-0.008726646259971648,-0.008726646259971648,0.3,-760.5172
-0.008726646259971648,0.0,0.3,0.0
-0.008726646259971648,0.008726646259971648,0.3,760.5173
-0.008726646259971648,0.017453292519943295,0.3,940.0823
-0.008726646259971648,0.026179938779914945,0.3,1008.8589
-0.008726646259971648,0.03490658503988659,0.3,1043.2407
0.0,-0.03490658503988659,0.3,-1093.8757
0.0,-0.026179938779914945,0.3,-1085.2578
0.0,-0.017453292519943295,0.3,-1074.7535
0.0,-0.008726646259971648,0.3,-1062.788
0.0,0.0,0.3,0.0001
0.0,0.008726646259971648,0.3,1062.788
0.0,0.017453292519943295,0.3,1074.7535
0.0,0.026179938779914945,0.3,1085.2581
0.0,0.03490658503988659,0.3,1093.876
0.008726646259971648,-0.03490658503988659,0.3,-1043.2406
0.008726646259971648,-0.026179938779914945,0.3,-1008.8588
0.008726646259971648,-0.017453292519943295,0.3,-940.0823
0.008726646259971648,-0.008726646259971648,0.3,-760.5171
0.008726646259971648,0.0,0.3,0.0001
0.008726646259971648,0.008726646259971648,0.3,760.5173
