alpha,beta,mach,CL0 [-]
0.03490658503988659,0.026179938779914945,0.1,0.5815920974997438
0.03490658503988659,0.03490658503988659,0.1,0.5914895566369031
-0.03490658503988659,-0.03490658503988659,0.2,-0.5935121353279692
-0.03490658503988659,-0.026179938779914945,0.2,-0.5837181052231821
-0.03490658503988659,-0.017453292519943295,0.2,-0.5757229786070293
-0.03490658503988659,-0.008726646259971648,0.2,-0.5704262072238281
-0.03490658503988659,0.0,0.2,-0.5685273646524919
-0.03490658503988659,0.008726646259971648,0.2,-0.5704262072238281
-0.03490658503988659,0.017453292519943295,0.2,-0.5757229786070293
-0.03490658503988659,0.026179938779914945,0.2,-0.5837181052231821
-0.03490658503988659,0.03490658503988659,0.2,-0.5935121353279692
-0.026179938779914945,-0.03490658503988659,0.2,-0.443080655623248
-0.026179938779914945,-0.026179938779914945,0.2,-0.4346835340934533
-0.026179938779914945,-0.017453292519943295,0.2,-0.427785898551122
-0.026179938779914945,-0.008726646259971648,0.2,-0.42318747485623437
-0.026179938779914945,0.0,0.2,-0.42168798886877107
-0.026179938779914945,0.008726646259971648,0.2,-0.42318747485623437
-0.026179938779914945,0.017453292519943295,0.2,-0.427785898551122
-0.026179938779914945,0.026179938779914945,0.2,-0.4346835340934533
-0.026179938779914945,0.03490658503988659,0.2,-0.443080655623248
-0.017453292519943295,-0.03490658503988659,0.2,-0.29434452764840024
-0.017453292519943295,-0.026179938779914945,0.2,-0.2880454871689149
-0.017453292519943295,-0.017453292519943295,0.2,-0.2828462791541017
-0.017453292519943295,-0.008726646259971648,0.2,-0.2795467817600856
-0.017453292519943295,0.0,0.2,-0.2784469492954136
-0.017453292519943295,0.008726646259971648,0.2,-0.2795467817600856
-0.017453292519943295,0.017453292519943295,0.2,-0.2828462791541017
-0.017453292519943295,0.026179938779914945,0.2,-0.2880454871689149
-0.017453292519943295,0.03490658503988659,0.2,-0.29434452764840024
-0.008726646259971648,-0.03490658503988659,0.2,-0.14683939211021396
-0.008726646259971648,-0.026179938779914945,0.2,-0.14333952537948935
-0.008726646259971648,-0.017453292519943295,0.2,-0.14063962818721612
-0.008726646259971648,-0.008726646259971648,0.2,-0.13883969672570062
-0.008726646259971648,0.0,0.2,-0.13814059603310552
-0.008726646259971648,0.008726646259971648,0.2,-0.13883969672570062
-0.008726646259971648,0.017453292519943295,0.2,-0.14063962818721612
-0.008726646259971648,0.026179938779914945,0.2,-0.14333952537948935
-0.008726646259971648,0.03490658503988659,0.2,-0.14683939211021396
0.0,-0.03490658503988659,0.2,-0.0
0.0,-0.026179938779914945,0.2,-0.0
0.0,-0.017453292519943295,0.2,-0.0
0.0,-0.008726646259971648,0.2,-0.0
0.0,0.0,0.2,-0.0
0.0,0.008726646259971648,0.2,-0.0
0.0,0.017453292519943295,0.2,-0.0
0.0,0.026179938779914945,0.2,-0.0
0.0,0.03490658503988659,0.2,-0.0
0.008726646259971648,-0.03490658503988659,0.2,0.14683939211021396
0.008726646259971648,-0.026179938779914945,0.2,0.14333952537948935
0.008726646259971648,-0.017453292519943295,0.2,0.14063962818721612
0.008726646259971648,-0.008726646259971648,0.2,0.13883969672570062
0.008726646259971648,0.0,0.2,0.13814059603310552
0.008726646259971648,0.008726646259971648,0.2,0.13883969672570062
0.008726646259971648,0.017453292519943295,0.2,0.14063962818721612
0.008726646259971648,0.026179938779914945,0.2,0.14333952537948935
0.008726646259971648,0.03490658503988659,0.2,0.14683939211021396
0.017453292519943295,-0.03490658503988659,0.2,0.29434452764840024
0.017453292519943295,-0.026179938779914945,0.2,0.2880454871689149
0.017453292519943295,-0.017453292519943295,0.2,0.2828462791541017
0.017453292519943295,-0.008726646259971648,0.2,0.2795467817600856
0.017453292519943295,0.0,0.2,0.2784469492954136
0.017453292519943295,0.008726646259971648,0.2,0.2795467817600856
0.017453292519943295,0.017453292519943295,0.2,0.2828462791541017
0.017453292519943295,0.026179938779914945,0.2,0.2880454871689149
0.017453292519943295,0.03490658503988659,0.2,0.29434452764840024
0.026179938779914945,-0.03490658503988659,0.2,0.443080655623248
0.026179938779914945,-0.026179938779914945,0.2,0.4346835340934533
0.026179938779914945,-0.017453292519943295,0.2,0.427785898551122
0.026179938779914945,-0.008726646259971648,0.2,0.42318747485623437
0.026179938779914945,0.0,0.2,0.42168798886877107
0.026179938779914945,0.008726646259971648,0.2,0.42318747485623437
0.026179938779914945,0.017453292519943295,0.2,0.427785898551122
0.026179938779914945,0.026179938779914945,0.2,0.4346835340934533
0.026179938779914945,0.03490658503988659,0.2,0.443080655623248
0.03490658503988659,-0.03490658503988659,0.2,0.5935121353279692
0.03490658503988659,-0.026179938779914945,0.2,0.5837181052231821
0.03490658503988659,-0.017453292519943295,0.2,0.5757229786070293
0.03490658503988659,-0.008726646259971648,0.2,0.5704262072238281
0.03490658503988659,0.0,0.2,0.5685273646524919
0.03490658503988659,0.008726646259971648,0.2,0.5704262072238281
0.03490658503988659,0.017453292519943295,0.2,0.5757229786070293
0.03490658503988659,0.026179938779914945,0.2,0.5837181052231821
0.03490658503988659,0.03490658503988659,0.2,0.5935121353279692
-0.03490658503988659,-0.03490658503988659,0.3,-0.5961873303709643
-0.03490658503988659,-0.026179938779914945,0.3,-0.586389810316507
-0.03490658503988659,-0.017453292519943295,0.3,-0.5783946837003542
-0.03490658503988659,-0.008726646259971648,0.3,-0.5731978513998549
-0.03490658503988659,0.0,0.3,-0.5711990697458168
-0.03490658503988659,0.008726646259971648,0.3,-0.5731978513998549
-0.03490658503988659,0.017453292519943295,0.3,-0.5783946837003542
-0.03490658503988659,0.026179938779914945,0.3,-0.586389810316507
-0.03490658503988659,0.03490658503988659,0.3,-0.5961873303709643
-0.026179938779914945,-0.03490658503988659,0.3,-0.44513494186464564
-0.026179938779914945,-0.026179938779914945,0.3,-0.4366378546023534
-0.026179938779914945,-0.017453292519943295,0.3,-0.4298401847925196
-0.026179938779914945,-0.008726646259971648,0.3,-0.425241761097632
-0.026179938779914945,0.0,0.3,-0.42364230937767117
-0.026179938779914945,0.008726646259971648,0.3,-0.425241761097632
-0.026179938779914945,0.017453292519943295,0.3,-0.4298401847925196
-0.026179938779914945,0.026179938779914945,0.3,-0.4366378546023534
-0.026179938779914945,0.03490658503988659,0.3,-0.44513494186464564
-0.017453292519943295,-0.03490658503988659,0.3,-0.2956809797056218
