alpha,beta,mach,CLp [1/rad]
-0.026179938779914945,-0.017453292519943295,0.1,-0.8874957731132997
-0.026179938779914945,-0.008726646259971648,0.1,-1.0272478671448828
-0.026179938779914945,0.0,0.1,-1.0757312474061973
-0.026179938779914945,0.008726646259971648,0.1,-1.027847661539868
-0.026179938779914945,0.017453292519943295,0.1,-0.8881955332407826
-0.026179938779914945,0.026179938779914945,0.1,-0.6832657816207934
-0.026179938779914945,0.03490658503988659,0.1,-0.4501456934364934
-0.017453292519943295,-0.03490658503988659,0.1,-0.29875449131272974
-0.017453292519943295,-0.026179938779914945,0.1,-0.4823265281434431
-0.017453292519943295,-0.017453292519943295,0.1,-0.6403024639781529
-0.017453292519943295,-0.008726646259971648,0.1,-0.741687020267011
-0.017453292519943295,0.0,0.1,-0.7759817962108753
-0.017453292519943295,0.008726646259971648,0.1,-0.741986974575558
-0.017453292519943295,0.017453292519943295,0.1,-0.6403024639781529
-0.017453292519943295,0.026179938779914945,0.1,-0.48082675660070856
-0.017453292519943295,0.03490658503988659,0.1,-0.29455513099307284
-0.008726646259971648,-0.03490658503988659,0.1,-0.15029427703654494
-0.008726646259971648,-0.026179938779914945,0.1,-0.2539903284582995
-0.008726646259971648,-0.017453292519943295,0.1,-0.33508724041880383
-0.008726646259971648,-0.008726646259971648,0.1,-0.3881852185335113
-0.008726646259971648,0.0,0.1,-0.40768447603326263
-0.008726646259971648,0.008726646259971648,0.1,-0.3881852185335113
-0.008726646259971648,0.017453292519943295,0.1,-0.33438726707265887
-0.008726646259971648,0.026179938779914945,0.1,-0.25149042365063906
-0.008726646259971648,0.03490658503988659,0.1,-0.14459449407507918
0.0,-0.03490658503988659,0.1,-0.0031
0.0,-0.026179938779914945,0.1,-0.0015
0.0,-0.017453292519943295,0.1,-0.0005
0.0,-0.008726646259971648,0.1,-0.0001
0.0,0.0,0.1,-0.0
0.0,0.008726646259971648,0.1,0.0001
0.0,0.017453292519943295,0.1,0.0005
0.0,0.026179938779914945,0.1,0.0015
0.0,0.03490658503988659,0.1,0.0031
0.008726646259971648,-0.03490658503988659,0.1,0.14459449407507918
0.008726646259971648,-0.026179938779914945,0.1,0.25149042365063906
0.008726646259971648,-0.017453292519943295,0.1,0.33438726707265887
0.008726646259971648,-0.008726646259971648,0.1,0.3881852185335113
0.008726646259971648,0.0,0.1,0.40768447603326263
0.008726646259971648,0.008726646259971648,0.1,0.3881852185335113
0.008726646259971648,0.017453292519943295,0.1,0.33508724041880383
0.008726646259971648,0.026179938779914945,0.1,0.2539903284582995
0.008726646259971648,0.03490658503988659,0.1,0.15029427703654494
0.017453292519943295,-0.03490658503988659,0.1,0.29455513099307284
0.017453292519943295,-0.026179938779914945,0.1,0.48082675660070856
0.017453292519943295,-0.017453292519943295,0.1,0.6403024639781529
0.017453292519943295,-0.008726646259971648,0.1,0.741986974575558
0.017453292519943295,0.0,0.1,0.7759817962108753
0.017453292519943295,0.008726646259971648,0.1,0.741687020267011
0.017453292519943295,0.017453292519943295,0.1,0.6403024639781529
0.017453292519943295,0.026179938779914945,0.1,0.4823265281434431
0.017453292519943295,0.03490658503988659,0.1,0.29875449131272974
0.026179938779914945,-0.03490658503988659,0.1,0.4501456934364934
0.026179938779914945,-0.026179938779914945,0.1,0.6832657816207934
0.026179938779914945,-0.017453292519943295,0.1,0.8881955332407826
0.026179938779914945,-0.008726646259971648,0.1,1.027847661539868
0.026179938779914945,0.0,0.1,1.0757312474061973
0.026179938779914945,0.008726646259971648,0.1,1.0272478671448828
0.026179938779914945,0.017453292519943295,0.1,0.8874957731132997
0.026179938779914945,0.026179938779914945,0.1,0.6832657816207934
0.026179938779914945,0.03490658503988659,0.1,0.4523449395514397
0.03490658503988659,-0.03490658503988659,0.1,0.6139257850378305
0.03490658503988659,-0.026179938779914945,0.1,0.8571775123342784
0.03490658503988659,-0.017453292519943295,0.1,1.0706473929855571
0.03490658503988659,-0.008726646259971648,0.1,1.2222549814443542
0.03490658503988659,0.0,0.1,1.2795200758325482
0.03490658503988659,0.008726646259971648,0.1,1.2214554687827388
0.03490658503988659,0.017453292519943295,0.1,1.0693481849104325
0.03490658503988659,0.026179938779914945,0.1,0.8559782433418556
0.03490658503988659,0.03490658503988659,0.1,0.6139257850378305
-0.03490658503988659,-0.03490658503988659,0.2,-0.6148252367821477
-0.03490658503988659,-0.026179938779914945,0.2,-0.8571775123342784
-0.03490658503988659,-0.017453292519943295,0.2,-1.0706473929855571
-0.03490658503988659,-0.008726646259971648,0.2,-1.2228546159405655
-0.03490658503988659,0.0,0.2,-1.2809192229903752
-0.03490658503988659,0.008726646259971648,0.2,-1.2236541286021807
-0.03490658503988659,0.017453292519943295,0.2,-1.0719466010606822
-0.03490658503988659,0.026179938779914945,0.2,-0.8583767813267014
-0.03490658503988659,0.03490658503988659,0.2,-0.6149251758648496
-0.026179938779914945,-0.03490658503988659,0.2,-0.45284476821392744
-0.026179938779914945,-0.026179938779914945,0.2,-0.6840655074807739
-0.026179938779914945,-0.017453292519943295,0.2,-0.8885953961707729
-0.026179938779914945,-0.008726646259971648,0.2,-1.0285474216673507
-0.026179938779914945,0.0,0.2,-1.0771307676611628
-0.026179938779914945,0.008726646259971648,0.2,-1.0291472160623363
-0.026179938779914945,0.017453292519943295,0.2,-0.8892951562982557
-0.026179938779914945,0.026179938779914945,0.2,-0.6840655074807739
-0.026179938779914945,0.03490658503988659,0.2,-0.4506455220989812
-0.017453292519943295,-0.03490658503988659,0.2,-0.2990544456212766
-0.017453292519943295,-0.026179938779914945,0.2,-0.4827264672215057
-0.017453292519943295,-0.017453292519943295,0.2,-0.6410023573647624
-0.017453292519943295,-0.008726646259971648,0.2,-0.7426868679621674
-0.017453292519943295,0.0,0.2,-0.7770816286755473
-0.017453292519943295,0.008726646259971648,0.2,-0.7429868222707143
-0.017453292519943295,0.017453292519943295,0.2,-0.6410023573647624
-0.017453292519943295,0.026179938779914945,0.2,-0.48132668044828675
-0.017453292519943295,0.03490658503988659,0.2,-0.29475510053210413
-0.008726646259971648,-0.03490658503988659,0.2,-0.15039427322885138
-0.008726646259971648,-0.026179938779914945,0.2,-0.2541903208429123
-0.008726646259971648,-0.017453292519943295,0.2,-0.3354872251880295
-0.008726646259971648,-0.008726646259971648,0.2,-0.38878519568734976
-0.008726646259971648,0.0,0.2,-0.40828445318710116
-0.008726646259971648,0.008726646259971648,0.2,-0.38878519568734976
-0.008726646259971648,0.017453292519943295,0.2,-0.3347872518418845
-0.008726646259971648,0.026179938779914945,0.2,-0.2516904160352519
-0.008726646259971648,0.03490658503988659,0.2,-0.1446944902673856
0.0,-0.03490658503988659,0.2,-0.0031
0.0,-0.026179938779914945,0.2,-0.0015
0.0,-0.017453292519943295,0.2,-0.0005
0.0,-0.008726646259971648,0.2,-0.0001
0.0,0.0,0.2,-0.0
0.0,0.008726646259971648,0.2,0.0001
0.0,0.017453292519943295,0.2,0.0005
0.0,0.026179938779914945,0.2,0.0015
0.0,0.03490658503988659,0.2,0.0031
0.008726646259971648,-0.03490658503988659,0.2,0.1446944902673856
0.008726646259971648,-0.026179938779914945,0.2,0.2516904160352519
0.008726646259971648,-0.017453292519943295,0.2,0.3347872518418845
0.008726646259971648,-0.008726646259971648,0.2,0.38878519568734976
0.008726646259971648,0.0,0.2,0.40828445318710116
0.008726646259971648,0.008726646259971648,0.2,0.38878519568734976
0.008726646259971648,0.017453292519943295,0.2,0.3354872251880295
0.008726646259971648,0.026179938779914945,0.2,0.2541903208429123
0.008726646259971648,0.03490658503988659,0.2,0.15039427322885138
0.017453292519943295,-0.03490658503988659,0.2,0.2948550853016198
0.017453292519943295,-0.026179938779914945,0.2,0.48132668044828675
0.017453292519943295,-0.017453292519943295,0.2,0.6410023573647624
0.017453292519943295,-0.008726646259971648,0.2,0.7429868222707143
0.017453292519943295,0.0,0.2,0.7769816439060316
0.017453292519943295,0.008726646259971648,0.2,0.7426868679621674
0.017453292519943295,0.017453292519943295,0.2,0.6410023573647624
0.017453292519943295,0.026179938779914945,0.2,0.4827264672215057
