alpha,beta,mach,Cl_r [1/rad]
-0.03490658503988659,0.017453292519943295,0.3,-0.1673
-0.03490658503988659,0.026179938779914945,0.3,-0.0817
-0.03490658503988659,0.03490658503988659,0.3,0.0
-0.026179938779914945,-0.03490658503988659,0.3,-0.0817
-0.026179938779914945,-0.026179938779914945,0.3,0.0
-0.026179938779914945,-0.017453292519943295,0.3,0.0583
-0.026179938779914945,-0.008726646259971648,0.3,0.2272
-0.026179938779914945,0.0,0.3,-0.1148
-0.026179938779914945,0.008726646259971648,0.3,-0.1613
-0.026179938779914945,0.017453292519943295,0.3,-0.1095
-0.026179938779914945,0.026179938779914945,0.3,0.0
-0.026179938779914945,0.03490658503988659,0.3,0.0428
-0.017453292519943295,-0.03490658503988659,0.3,-0.1673
-0.017453292519943295,-0.026179938779914945,0.3,-0.1095
-0.017453292519943295,-0.017453292519943295,0.3,0.0
-0.017453292519943295,-0.008726646259971648,0.3,0.1536
-0.017453292519943295,0.0,0.3,-0.0859
-0.017453292519943295,0.008726646259971648,0.3,-0.1749
-0.017453292519943295,0.017453292519943295,0.3,0.0
-0.017453292519943295,0.026179938779914945,0.3,0.0583
-0.017453292519943295,0.03490658503988659,0.3,0.1336
-0.008726646259971648,-0.03490658503988659,0.3,-0.0851
-0.008726646259971648,-0.026179938779914945,0.3,-0.1613
-0.008726646259971648,-0.017453292519943295,0.3,-0.1749
-0.008726646259971648,-0.008726646259971648,0.3,0.0
-0.008726646259971648,0.0,0.3,-0.0631
-0.008726646259971648,0.008726646259971648,0.3,0.0
-0.008726646259971648,0.017453292519943295,0.3,0.1536
-0.008726646259971648,0.026179938779914945,0.3,0.2272
-0.008726646259971648,0.03490658503988659,0.3,0.2619
0.0,-0.03490658503988659,0.3,0.1648
0.0,-0.026179938779914945,0.3,0.1148
0.0,-0.017453292519943295,0.3,0.0859
0.0,-0.008726646259971648,0.3,0.0631
0.0,0.0,0.3,-0.0
0.0,0.008726646259971648,0.3,0.0631
0.0,0.017453292519943295,0.3,0.0859
0.0,0.026179938779914945,0.3,0.1148
0.0,0.03490658503988659,0.3,0.1648
0.008726646259971648,-0.03490658503988659,0.3,0.2619
0.008726646259971648,-0.026179938779914945,0.3,0.2272
0.008726646259971648,-0.017453292519943295,0.3,0.1536
0.008726646259971648,-0.008726646259971648,0.3,0.0
0.008726646259971648,0.0,0.3,0.0631
0.008726646259971648,0.008726646259971648,0.3,0.0
0.008726646259971648,0.017453292519943295,0.3,-0.1749
0.008726646259971648,0.026179938779914945,0.3,-0.1613
0.008726646259971648,0.03490658503988659,0.3,-0.0851
0.017453292519943295,-0.03490658503988659,0.3,0.1336
0.017453292519943295,-0.026179938779914945,0.3,0.0583
0.017453292519943295,-0.017453292519943295,0.3,0.0
0.017453292519943295,-0.008726646259971648,0.3,-0.1749
0.017453292519943295,0.0,0.3,0.0859
0.017453292519943295,0.008726646259971648,0.3,0.1536
0.017453292519943295,0.017453292519943295,0.3,0.0
0.017453292519943295,0.026179938779914945,0.3,-0.1095
0.017453292519943295,0.03490658503988659,0.3,-0.1673
0.026179938779914945,-0.03490658503988659,0.3,0.0428
0.026179938779914945,-0.026179938779914945,0.3,0.0
0.026179938779914945,-0.017453292519943295,0.3,-0.1095
