alpha,beta,mach,CQq [1/rad]
0.017453292519943295,0.03490658503988659,0.01,-168.40251342159235
0.026179938779914945,-0.03490658503988659,0.01,150.42168242603884
0.026179938779914945,-0.026179938779914945,0.01,136.085367585361
0.026179938779914945,-0.017453292519943295,0.01,111.43755295503654
0.026179938779914945,-0.008726646259971648,0.01,66.14197685468683
0.026179938779914945,0.0,0.01,0.0
0.026179938779914945,0.008726646259971648,0.01,-66.14207682803573
0.026179938779914945,0.017453292519943295,0.01,-111.43755295503654
0.026179938779914945,0.026179938779914945,0.01,-136.0854675510935
0.026179938779914945,0.03490658503988659,0.01,-150.42178236512154
0.03490658503988659,-0.03490658503988659,0.01,135.3754706088098
0.03490658503988659,-0.026179938779914945,0.01,118.85906252792819
0.03490658503988659,-0.017453292519943295,0.01,91.49262276585533
0.03490658503988659,-0.008726646259971648,0.01,50.978437126332615
0.03490658503988659,0.0,0.01,0.0
0.03490658503988659,0.008726646259971648,0.01,-50.978437095877446
0.03490658503988659,0.017453292519943295,0.01,-91.49262276585533
0.03490658503988659,0.026179938779914945,0.01,-118.85906252792819
0.03490658503988659,0.03490658503988659,0.01,-135.37547073060728
-0.03490658503988659,-0.03490658503988659,0.1,135.36015865640724
-0.03490658503988659,-0.026179938779914945,0.1,118.82606421369718
-0.03490658503988659,-0.017453292519943295,0.1,91.45022991709783
-0.03490658503988659,-0.008726646259971648,0.1,50.93864682261566
-0.03490658503988659,0.0,0.1,0.0
-0.03490658503988659,0.008726646259971648,0.1,-50.93864682261566
-0.03490658503988659,0.017453292519943295,0.1,-91.45022991709783
-0.03490658503988659,0.026179938779914945,0.1,-118.82616417942968
-0.03490658503988659,0.03490658503988659,0.1,-135.36015865640724
-0.026179938779914945,-0.03490658503988659,0.1,150.42234772628186
-0.026179938779914945,-0.026179938779914945,0.1,136.0663005963351
-0.026179938779914945,-0.017453292519943295,0.1,111.40164014776599
-0.026179938779914945,-0.008726646259971648,0.1,66.1058113719941
-0.026179938779914945,0.0,0.1,0.0
-0.026179938779914945,0.008726646259971648,0.1,-66.1058113719941
-0.026179938779914945,0.017453292519943295,0.1,-111.40164014776599
-0.026179938779914945,0.026179938779914945,0.1,-136.0663005963351
-0.026179938779914945,0.03490658503988659,0.1,-150.42234772628186
-0.017453292519943295,-0.03490658503988659,0.1,168.42834075857218
-0.017453292519943295,-0.026179938779914945,0.1,156.34192579323837
-0.017453292519943295,-0.017453292519943295,0.1,136.19157505411783
-0.017453292519943295,-0.008726646259971648,0.1,91.61618301947406
-0.017453292519943295,0.0,0.1,0.0
-0.017453292519943295,0.008726646259971648,0.1,-91.61618301947406
-0.017453292519943295,0.017453292519943295,0.1,-136.19157508457647
-0.017453292519943295,0.026179938779914945,0.1,-156.34192579323837
-0.017453292519943295,0.03490658503988659,0.1,-168.42834075857218
-0.008726646259971648,-0.03490658503988659,0.1,185.63570979530525
-0.008726646259971648,-0.026179938779914945,0.1,179.59215552059464
-0.008726646259971648,-0.017453292519943295,0.1,167.4539962369641
-0.008726646259971648,-0.008726646259971648,0.1,135.69408875841577
-0.008726646259971648,0.0,0.1,0.0
-0.008726646259971648,0.008726646259971648,0.1,-135.69408876603103
-0.008726646259971648,0.017453292519943295,0.1,-167.4539962369641
-0.008726646259971648,0.026179938779914945,0.1,-179.59215552059464
-0.008726646259971648,0.03490658503988659,0.1,-185.63570979530525
0.0,-0.03490658503988659,0.1,194.80185963705836
0.0,-0.026179938779914945,0.1,193.23695982121515
0.0,-0.017453292519943295,0.1,191.27666320004957
0.0,-0.008726646259971648,0.1,189.0183024881665
0.0,0.0,0.1,0.0
0.0,0.008726646259971648,0.1,-189.01840248435883
0.0,0.017453292519943295,0.1,-191.2767631848191
0.0,0.026179938779914945,0.1,-193.23695982121515
0.0,0.03490658503988659,0.1,-194.80185963705836
0.008726646259971648,-0.03490658503988659,0.1,185.62271390438693
0.008726646259971648,-0.026179938779914945,0.1,179.58269220527617
0.008726646259971648,-0.017453292519943295,0.1,167.44787054095352
0.008726646259971648,-0.008726646259971648,0.1,135.69110754340699
0.008726646259971648,0.0,0.1,0.0
0.008726646259971648,0.008726646259971648,0.1,-135.69110754340699
0.008726646259971648,0.017453292519943295,0.1,-167.44787054095352
0.008726646259971648,0.026179938779914945,0.1,-179.58269220527617
0.008726646259971648,0.03490658503988659,0.1,-185.62271390438693
0.017453292519943295,-0.03490658503988659,0.1,168.40234990551494
0.017453292519943295,-0.026179938779914945,0.1,156.32299988326955
0.017453292519943295,-0.017453292519943295,0.1,136.17932415905076
0.017453292519943295,-0.008726646259971648,0.1,91.61022081648754
0.017453292519943295,0.0,0.1,0.0
0.017453292519943295,0.008726646259971648,0.1,-91.61022081648754
0.017453292519943295,0.017453292519943295,0.1,-136.17932415905076
0.017453292519943295,0.026179938779914945,0.1,-156.3229998375845
0.017453292519943295,0.03490658503988659,0.1,-168.40234990551494
0.026179938779914945,-0.03490658503988659,0.1,150.38336392084494
0.026179938779914945,-0.026179938779914945,0.1,136.03791353299724
0.026179938779914945,-0.017453292519943295,0.1,111.38326492568055
0.026179938779914945,-0.008726646259971648,0.1,66.09676863888235
0.026179938779914945,0.0,0.1,0.0
0.026179938779914945,0.008726646259971648,0.1,-66.09686863507467
0.026179938779914945,0.017453292519943295,0.1,-111.38326492568055
0.026179938779914945,0.026179938779914945,0.1,-136.03791353299724
0.026179938779914945,0.03490658503988659,0.1,-150.38336392084494
0.03490658503988659,-0.03490658503988659,0.1,135.30818498915588
0.03490658503988659,-0.026179938779914945,0.1,118.78821806741881
0.03490658503988659,-0.017453292519943295,0.1,91.42563181302747
0.03490658503988659,-0.008726646259971648,0.1,50.926724232787386
0.03490658503988659,0.0,0.1,0.0
0.03490658503988659,0.008726646259971648,0.1,-50.92672420233222
0.03490658503988659,0.017453292519943295,0.1,-91.42573179779697
0.03490658503988659,0.026179938779914945,0.1,-118.78821806741881
0.03490658503988659,0.03490658503988659,0.1,-135.30818498915588
-0.03490658503988659,-0.03490658503988659,0.2,135.2180285860602
-0.03490658503988659,-0.026179938779914945,0.2,118.67537709776639
-0.03490658503988659,-0.017453292519943295,0.2,91.31262602377213
-0.03490658503988659,-0.008726646259971648,0.2,50.85509405589309
-0.03490658503988659,0.0,0.2,0.0
-0.03490658503988659,0.008726646259971648,0.2,-50.85509405589309
-0.03490658503988659,0.017453292519943295,0.2,-91.31262602377213
-0.03490658503988659,0.026179938779914945,0.2,-118.67537709776639
-0.03490658503988659,0.03490658503988659,0.2,-135.2181285251429
-0.026179938779914945,-0.03490658503988659,0.2,150.3603307818941
