alpha,beta,mach,Cnr [1/rad]
0.03490658503988659,0.017453292519943295,0.3,-966.8498
0.03490658503988659,0.026179938779914945,0.3,-886.3531
0.03490658503988659,0.03490658503988659,0.3,-798.7428
-0.03490658503988659,-0.03490658503988659,0.4,700.6785
-0.03490658503988659,-0.026179938779914945,0.4,788.5794
-0.03490658503988659,-0.017453292519943295,0.4,869.922
-0.03490658503988659,-0.008726646259971648,0.4,950.6264
-0.03490658503988659,0.0,0.4,-1100.9727
-0.03490658503988659,0.008726646259971648,0.4,973.2579
-0.03490658503988659,0.017453292519943295,0.4,891.0516
-0.03490658503988659,0.026179938779914945,0.4,792.2588
-0.03490658503988659,0.03490658503988659,0.4,700.6786
-0.026179938779914945,-0.03490658503988659,0.4,589.9189
-0.026179938779914945,-0.026179938779914945,0.4,702.1636
-0.026179938779914945,-0.017453292519943295,0.4,813.4316
-0.026179938779914945,-0.008726646259971648,0.4,928.0978
-0.026179938779914945,0.0,0.4,-1103.3469
-0.026179938779914945,0.008726646259971648,0.4,948.7278
-0.026179938779914945,0.017453292519943295,0.4,823.891
-0.026179938779914945,0.026179938779914945,0.4,702.1637
-0.026179938779914945,0.03490658503988659,0.4,605.4233
-0.017453292519943295,-0.03490658503988659,0.4,423.7464
-0.017453292519943295,-0.026179938779914945,0.4,547.4695
-0.017453292519943295,-0.017453292519943295,0.4,703.4722
-0.017453292519943295,-0.008726646259971648,0.4,872.7928
-0.017453292519943295,0.0,0.4,-1105.2682
-0.017453292519943295,0.008726646259971648,0.4,886.6658
-0.017453292519943295,0.017453292519943295,0.4,703.4725
-0.017453292519943295,0.026179938779914945,0.4,570.1081
-0.017453292519943295,0.03490658503988659,0.4,472.0823
-0.008726646259971648,-0.03490658503988659,0.4,188.2103
-0.008726646259971648,-0.026179938779914945,0.4,284.8109
-0.008726646259971648,-0.017453292519943295,0.4,439.9816
-0.008726646259971648,-0.008726646259971648,0.4,704.5294
-0.008726646259971648,0.0,0.4,-1106.702
-0.008726646259971648,0.008726646259971648,0.4,704.5294
-0.008726646259971648,0.017453292519943295,0.4,467.5391
-0.008726646259971648,0.026179938779914945,0.4,338.1196
-0.008726646259971648,0.03490658503988659,0.4,265.8721
0.0,-0.03490658503988659,0.4,-99.8571
