alpha,beta,mach,CLq [1/rad]
-0.017453292519943295,0.017453292519943295,0.2,-116.08621681366813
-0.017453292519943295,0.026179938779914945,0.2,-90.64479225610522
-0.017453292519943295,0.03490658503988659,0.2,-70.06212757315477
-0.008726646259971648,-0.03490658503988659,0.2,-29.56237431250763
-0.008726646259971648,-0.026179938779914945,0.2,-45.35847282257542
-0.008726646259971648,-0.017453292519943295,0.2,-71.47217845481934
-0.008726646259971648,-0.008726646259971648,0.2,-116.15577697551876
-0.008726646259971648,0.0,0.2,203.50295093613568
-0.008726646259971648,0.008726646259971648,0.2,-116.15577697551876
-0.008726646259971648,0.017453292519943295,0.2,-71.47217845481934
-0.008726646259971648,0.026179938779914945,0.2,-45.35847282257542
-0.008726646259971648,0.03490658503988659,0.2,-29.56237431250763
0.0,-0.03490658503988659,0.2,21.3442
0.0,-0.026179938779914945,0.2,20.7182
0.0,-0.017453292519943295,0.2,20.1131
0.0,-0.008726646259971648,0.2,19.575
0.0,0.0,0.2,206.1668
0.0,0.008726646259971648,0.2,19.575
0.0,0.017453292519943295,0.2,20.1131
0.0,0.026179938779914945,0.2,20.7182
0.0,0.03490658503988659,0.2,21.3442
0.008726646259971648,-0.03490658503988659,0.2,72.24914886904021
0.008726646259971648,-0.026179938779914945,0.2,86.79339504762396
0.008726646259971648,-0.017453292519943295,0.2,111.69694676057561
0.008726646259971648,-0.008726646259971648,0.2,155.30418626728877
0.008726646259971648,0.0,0.2,208.58305749387856
0.008726646259971648,0.008726646259971648,0.2,155.30418626728877
0.008726646259971648,0.017453292519943295,0.2,111.69684676438331
0.008726646259971648,0.026179938779914945,0.2,86.79339504762396
0.008726646259971648,0.03490658503988659,0.2,72.24914886904021
0.017453292519943295,-0.03490658503988659,0.2,112.74392593829936
0.017453292519943295,-0.026179938779914945,0.2,132.0748812916835
0.017453292519943295,-0.017453292519943295,0.2,156.30629016856815
0.017453292519943295,-0.008726646259971648,0.2,187.16718918818725
0.017453292519943295,0.0,0.2,210.78369173255075
0.017453292519943295,0.008726646259971648,0.2,187.16718918818725
0.017453292519943295,0.017453292519943295,0.2,156.30629016856815
0.017453292519943295,0.026179938779914945,0.2,132.0748812916835
0.017453292519943295,0.03490658503988659,0.2,112.74392593829936
0.026179938779914945,-0.03490658503988659,0.2,140.13076422628365
0.026179938779914945,-0.026179938779914945,0.2,156.7699604347693
0.026179938779914945,-0.017453292519943295,0.2,176.50579513883176
0.026179938779914945,-0.008726646259971648,0.2,199.33926799579592
0.026179938779914945,0.0,0.2,212.6937901658769
0.026179938779914945,0.008726646259971648,0.2,199.33926799579592
0.026179938779914945,0.017453292519943295,0.2,176.50579513883176
0.026179938779914945,0.026179938779914945,0.2,156.7699604347693
0.026179938779914945,0.03490658503988659,0.2,140.13076422628365
0.03490658503988659,-0.03490658503988659,0.2,156.6881916061138
0.03490658503988659,-0.026179938779914945,0.2,171.15497346171142
0.03490658503988659,-0.017453292519943295,0.2,188.61503078331393
0.03490658503988659,-0.008726646259971648,0.2,205.39230429189703
0.03490658503988659,0.0,0.2,214.22432078659557
0.03490658503988659,0.008726646259971648,0.2,205.39230429189703
0.03490658503988659,0.017453292519943295,0.2,188.61503078331393
0.03490658503988659,0.026179938779914945,0.2,171.15497346171142
0.03490658503988659,0.03490658503988659,0.2,156.6881916061138
-0.03490658503988659,-0.03490658503988659,0.3,-113.79833487376229
-0.03490658503988659,-0.026179938779914945,0.3,-129.65766790772832
-0.03490658503988659,-0.017453292519943295,0.3,-148.51707226532298
-0.03490658503988659,-0.008726646259971648,0.3,-166.62363551292415
-0.03490658503988659,0.0,0.3,196.70579910161246
-0.03490658503988659,0.008726646259971648,0.3,-166.62353557384145
-0.03490658503988659,0.017453292519943295,0.3,-148.51707226532298
-0.03490658503988659,0.026179938779914945,0.3,-129.65766790772832
-0.03490658503988659,0.03490658503988659,0.3,-113.79833487376229
-0.026179938779914945,-0.03490658503988659,0.3,-97.21457557349049
-0.026179938779914945,-0.026179938779914945,0.3,-115.21970355082276
-0.026179938779914945,-0.017453292519943295,0.3,-136.34736114844867
-0.026179938779914945,-0.008726646259971648,0.3,-160.52967163400237
-0.026179938779914945,0.0,0.3,199.05566521270035
-0.026179938779914945,0.008726646259971648,0.3,-160.52967163400237
-0.026179938779914945,0.017453292519943295,0.3,-136.34736114844867
-0.026179938779914945,0.026179938779914945,0.3,-115.21970355082276
-0.026179938779914945,0.03490658503988659,0.3,-97.21457557349049
-0.017453292519943295,-0.03490658503988659,0.3,-69.84076129344714
-0.017453292519943295,-0.026179938779914945,0.3,-90.48781616796566
-0.017453292519943295,-0.017453292519943295,0.3,-116.05922092589891
-0.017453292519943295,-0.008726646259971648,0.3,-148.27961285662218
-0.017453292519943295,0.0,0.3,201.55999675996352
-0.017453292519943295,0.008726646259971648,0.3,-148.27951287185266
-0.017453292519943295,0.017453292519943295,0.3,-116.05912094112941
-0.017453292519943295,0.026179938779914945,0.3,-90.48771618319614
-0.017453292519943295,0.03490658503988659,0.3,-69.84076129344714
-0.008726646259971648,-0.03490658503988659,0.3,-29.426279494778594
-0.008726646259971648,-0.026179938779914945,0.3,-45.25897661123054
-0.008726646259971648,-0.017453292519943295,0.3,-71.40278109735868
-0.008726646259971648,-0.008726646259971648,0.3,-116.23107410832549
-0.008726646259971648,0.0,0.3,204.15912595005037
-0.008726646259971648,0.008726646259971648,0.3,-116.23107410832549
-0.008726646259971648,0.017453292519943295,0.3,-71.40268110116638
-0.008726646259971648,0.026179938779914945,0.3,-45.25897661123054
-0.008726646259971648,0.03490658503988659,0.3,-29.426279494778594
0.0,-0.03490658503988659,0.3,21.3522
0.0,-0.026179938779914945,0.3,20.723
0.0,-0.017453292519943295,0.3,20.1155
0.0,-0.008726646259971648,0.3,19.5759
0.0,0.0,0.3,206.7555
0.0,0.008726646259971648,0.3,19.5759
