alpha,beta,mach,Cn0 [-]
0.026179938779914945,0.008726646259971648,0.2,0.5576
0.026179938779914945,0.017453292519943295,0.2,1.118
0.026179938779914945,0.026179938779914945,0.2,1.6824
0.026179938779914945,0.03490658503988659,0.2,2.2516
0.03490658503988659,-0.03490658503988659,0.2,-2.2936
0.03490658503988659,-0.026179938779914945,0.2,-1.7182
0.03490658503988659,-0.017453292519943295,0.2,-1.1446
0.03490658503988659,-0.008726646259971648,0.2,-0.572
0.03490658503988659,0.0,0.2,-0.0
0.03490658503988659,0.008726646259971648,0.2,0.572
0.03490658503988659,0.017453292519943295,0.2,1.1446
0.03490658503988659,0.026179938779914945,0.2,1.7182
0.03490658503988659,0.03490658503988659,0.2,2.2936
-0.03490658503988659,-0.03490658503988659,0.3,-2.3069
-0.03490658503988659,-0.026179938779914945,0.3,-1.7283
-0.03490658503988659,-0.017453292519943295,0.3,-1.1513
-0.03490658503988659,-0.008726646259971648,0.3,-0.5754
-0.03490658503988659,0.0,0.3,-0.0
-0.03490658503988659,0.008726646259971648,0.3,0.5754
-0.03490658503988659,0.017453292519943295,0.3,1.1513
-0.03490658503988659,0.026179938779914945,0.3,1.7283
-0.03490658503988659,0.03490658503988659,0.3,2.3069
-0.026179938779914945,-0.03490658503988659,0.3,-2.2652
-0.026179938779914945,-0.026179938779914945,0.3,-1.6927
-0.026179938779914945,-0.017453292519943295,0.3,-1.1249
-0.026179938779914945,-0.008726646259971648,0.3,-0.561
-0.026179938779914945,0.0,0.3,-0.0
-0.026179938779914945,0.008726646259971648,0.3,0.561
-0.026179938779914945,0.017453292519943295,0.3,1.1249
-0.026179938779914945,0.026179938779914945,0.3,1.6927
-0.026179938779914945,0.03490658503988659,0.3,2.2652
-0.017453292519943295,-0.03490658503988659,0.3,-2.2316
-0.017453292519943295,-0.026179938779914945,0.3,-1.664
-0.017453292519943295,-0.017453292519943295,0.3,-1.1042
-0.017453292519943295,-0.008726646259971648,0.3,-0.5506
-0.017453292519943295,0.0,0.3,-0.0
-0.017453292519943295,0.008726646259971648,0.3,0.5506
-0.017453292519943295,0.017453292519943295,0.3,1.1042
-0.017453292519943295,0.026179938779914945,0.3,1.664
-0.017453292519943295,0.03490658503988659,0.3,2.2316
-0.008726646259971648,-0.03490658503988659,0.3,-2.2092
-0.008726646259971648,-0.026179938779914945,0.3,-1.6454
-0.008726646259971648,-0.017453292519943295,0.3,-1.0918
-0.008726646259971648,-0.008726646259971648,0.3,-0.5446
-0.008726646259971648,0.0,0.3,-0.0
-0.008726646259971648,0.008726646259971648,0.3,0.5446
-0.008726646259971648,0.017453292519943295,0.3,1.0918
-0.008726646259971648,0.026179938779914945,0.3,1.6454
-0.008726646259971648,0.03490658503988659,0.3,2.2092
0.0,-0.03490658503988659,0.3,-2.201
0.0,-0.026179938779914945,0.3,-1.6391
0.0,-0.017453292519943295,0.3,-1.0877
0.0,-0.008726646259971648,0.3,-0.5428
0.0,0.0,0.3,-0.0
0.0,0.008726646259971648,0.3,0.5428
0.0,0.017453292519943295,0.3,1.0877
0.0,0.026179938779914945,0.3,1.6391
0.0,0.03490658503988659,0.3,2.201
0.008726646259971648,-0.03490658503988659,0.3,-2.2092
0.008726646259971648,-0.026179938779914945,0.3,-1.6454
0.008726646259971648,-0.017453292519943295,0.3,-1.0918
0.008726646259971648,-0.008726646259971648,0.3,-0.5446
0.008726646259971648,0.0,0.3,0.0
0.008726646259971648,0.008726646259971648,0.3,0.5446
