alpha,beta,mach,CQp [1/rad]
0.026179938779914945,0.0,0.01,0.0015
0.026179938779914945,0.008726646259971648,0.01,-0.25065627873302976
0.026179938779914945,0.017453292519943295,0.01,-0.4793223371196681
0.026179938779914945,0.026179938779914945,0.01,-0.6810991725661691
0.026179938779914945,0.03490658503988659,0.01,-0.8544667141128307
0.03490658503988659,-0.03490658503988659,0.01,0.6113808719412673
0.03490658503988659,-0.026179938779914945,0.01,0.45026392381945785
0.03490658503988659,-0.017453292519943295,0.01,0.2973037500539136
0.03490658503988659,-0.008726646259971648,0.01,0.14952273919716258
0.03490658503988659,0.0,0.01,0.0031
0.03490658503988659,0.008726646259971648,0.01,-0.14382319987705428
0.03490658503988659,0.017453292519943295,0.01,-0.29310518153851794
0.03490658503988659,0.026179938779914945,0.01,-0.44816573971179463
0.03490658503988659,0.03490658503988659,0.01,-0.6113808719412673
-0.03490658503988659,-0.03490658503988659,0.1,0.6131775830751355
-0.03490658503988659,-0.026179938779914945,0.1,0.4494631930409242
-0.03490658503988659,-0.017453292519943295,0.1,0.29390341517810054
-0.03490658503988659,-0.008726646259971648,0.1,0.1442222709911894
-0.03490658503988659,0.0,0.1,-0.0031
-0.03490658503988659,0.008726646259971648,0.1,-0.14992181031129767
-0.03490658503988659,0.017453292519943295,0.1,-0.2982019684630119
-0.03490658503988659,0.026179938779914945,0.1,-0.45156137714858746
-0.03490658503988659,0.03490658503988659,0.1,-0.6131775830751355
-0.026179938779914945,-0.03490658503988659,0.1,0.8567641253839571
-0.026179938779914945,-0.026179938779914945,0.1,0.6827974251231691
-0.026179938779914945,-0.017453292519943295,0.1,0.4804211645127096
-0.026179938779914945,-0.008726646259971648,0.1,0.25125568480169663
-0.026179938779914945,0.0,0.1,-0.0015
-0.026179938779914945,0.008726646259971648,0.1,-0.25375545254891585
-0.026179938779914945,0.017453292519943295,0.1,-0.4819206162599253
-0.026179938779914945,0.026179938779914945,0.1,-0.6827974251231691
-0.026179938779914945,0.03490658503988659,0.1,-0.8555668662286408
-0.017453292519943295,-0.03490658503988659,0.1,1.0704653998215257
-0.017453292519943295,-0.026179938779914945,0.1,0.8879751484432485
-0.017453292519943295,-0.017453292519943295,0.1,0.6401074067896674
-0.017453292519943295,-0.008726646259971648,0.1,0.33427429164159195
-0.017453292519943295,0.0,0.1,-0.0005
-0.017453292519943295,0.008726646259971648,0.1,-0.3349742192980236
-0.017453292519943295,0.017453292519943295,0.1,-0.6401074067896674
