alpha,beta,mach,Cmr [1/rad]
0.0,0.008726646259971648,0.01,-1043.7603
0.0,0.017453292519943295,0.01,-1042.7948
0.0,0.026179938779914945,0.01,-1041.4725
0.0,0.03490658503988659,0.01,-1039.625
0.008726646259971648,-0.03490658503988659,0.01,994.3553
0.008726646259971648,-0.026179938779914945,0.01,972.2853
0.008726646259971648,-0.017453292519943295,0.01,918.3573
0.008726646259971648,-0.008726646259971648,0.01,753.6756
0.008726646259971648,0.0,0.01,-14.5901
0.008726646259971648,0.008726646259971648,0.01,-753.6757
0.008726646259971648,0.017453292519943295,0.01,-931.2732
0.008726646259971648,0.026179938779914945,0.01,-992.3221
0.008726646259971648,0.03490658503988659,0.01,-1015.431
0.017453292519943295,-0.03490658503988659,0.01,916.1477
0.017453292519943295,-0.026179938779914945,0.01,860.7612
0.017453292519943295,-0.017453292519943295,0.01,752.5048
0.017453292519943295,-0.008726646259971648,0.01,490.5919
0.017453292519943295,0.0,0.01,-28.4305
0.017453292519943295,0.008726646259971648,0.01,-519.7674
0.017453292519943295,0.017453292519943295,0.01,-752.5048
0.017453292519943295,0.026179938779914945,0.01,-869.8577
0.017453292519943295,0.03490658503988659,0.01,-935.5387
0.026179938779914945,-0.03490658503988659,0.01,836.6467
0.026179938779914945,-0.026179938779914945,0.01,751.0658
0.026179938779914945,-0.017453292519943295,0.01,597.1265
0.026179938779914945,-0.008726646259971648,0.01,336.0037
0.026179938779914945,0.0,0.01,-41.0391
0.026179938779914945,0.008726646259971648,0.01,-391.366
0.026179938779914945,0.017453292519943295,0.01,-621.6831
0.026179938779914945,0.026179938779914945,0.01,-751.0657
0.026179938779914945,0.03490658503988659,0.01,-838.8035
0.03490658503988659,-0.03490658503988659,0.01,749.4438
0.03490658503988659,-0.026179938779914945,0.01,639.0432
0.03490658503988659,-0.017453292519943295,0.01,473.621
0.03490658503988659,-0.008726646259971648,0.01,239.127
0.03490658503988659,0.0,0.01,-52.0317
0.03490658503988659,0.008726646259971648,0.01,-319.8578
0.03490658503988659,0.017453292519943295,0.01,-525.0112
0.03490658503988659,0.026179938779914945,0.01,-656.4227
0.03490658503988659,0.03490658503988659,0.01,-749.4437
-0.03490658503988659,-0.03490658503988659,0.1,749.4887
-0.03490658503988659,-0.026179938779914945,0.1,656.3401
-0.03490658503988659,-0.017453292519943295,0.1,524.8167
-0.03490658503988659,-0.008726646259971648,0.1,319.6111
-0.03490658503988659,0.0,0.1,51.7739
-0.03490658503988659,0.008726646259971648,0.1,-239.1634
-0.03490658503988659,0.017453292519943295,0.1,-473.6382
-0.03490658503988659,0.026179938779914945,0.1,-639.0704
-0.03490658503988659,0.03490658503988659,0.1,-749.4888
-0.026179938779914945,-0.03490658503988659,0.1,838.983
-0.026179938779914945,-0.026179938779914945,0.1,751.1069
-0.026179938779914945,-0.017453292519943295,0.1,621.5709
-0.026179938779914945,-0.008726646259971648,0.1,391.1617
-0.026179938779914945,0.0,0.1,40.8253
-0.026179938779914945,0.008726646259971648,0.1,-335.99
-0.026179938779914945,0.017453292519943295,0.1,-597.1284
-0.026179938779914945,0.026179938779914945,0.1,-751.1068
-0.026179938779914945,0.03490658503988659,0.1,-836.7364
-0.017453292519943295,-0.03490658503988659,0.1,935.8729
-0.017453292519943295,-0.026179938779914945,0.1,870.0759
-0.017453292519943295,-0.017453292519943295,0.1,752.5423
-0.017453292519943295,-0.008726646259971648,0.1,519.621
-0.017453292519943295,0.0,0.1,28.2745
-0.017453292519943295,0.008726646259971648,0.1,-490.5536
-0.017453292519943295,0.017453292519943295,0.1,-752.5422
-0.017453292519943295,0.026179938779914945,0.1,-860.8973
-0.017453292519943295,0.03490658503988659,0.1,-916.3469
-0.008726646259971648,-0.03490658503988659,0.1,1015.9809
-0.008726646259971648,-0.026179938779914945,0.1,992.7529
-0.008726646259971648,-0.017453292519943295,0.1,931.584
-0.008726646259971648,-0.008726646259971648,0.1,753.7101
-0.008726646259971648,0.0,0.1,14.5063
-0.008726646259971648,0.008726646259971648,0.1,-753.7102
-0.008726646259971648,0.017453292519943295,0.1,-918.5983
-0.008726646259971648,0.026179938779914945,0.1,-972.6101
-0.008726646259971648,0.03490658503988659,0.1,-994.7101
0.0,-0.03490658503988659,0.1,1040.1334
0.0,-0.026179938779914945,0.1,1042.0251
0.0,-0.017453292519943295,0.1,1043.3909
0.0,-0.008726646259971648,0.1,1044.3877
0.0,0.0,0.1,0.0001
0.0,0.008726646259971648,0.1,-1044.3876
0.0,0.017453292519943295,0.1,-1043.3906
0.0,0.026179938779914945,0.1,-1042.0251
0.0,0.03490658503988659,0.1,-1040.1333
0.008726646259971648,-0.03490658503988659,0.1,994.7103
0.008726646259971648,-0.026179938779914945,0.1,972.6101
