alpha,beta,mach,CQr [1/rad]
-0.026179938779914945,0.017453292519943295,0.2,-132.3303797793473
-0.026179938779914945,0.026179938779914945,0.2,-109.03289626030367
-0.026179938779914945,0.03490658503988659,0.2,-89.95371578221751
-0.017453292519943295,-0.03490658503988659,0.2,-63.696424040766495
-0.017453292519943295,-0.026179938779914945,0.2,-86.14073601636
-0.017453292519943295,-0.017453292519943295,0.2,-114.49081087622044
-0.017453292519943295,-0.008726646259971648,0.2,-144.74401540208686
-0.017453292519943295,0.0,0.2,206.5144
-0.017453292519943295,0.008726646259971648,0.2,-145.09411867552575
-0.017453292519943295,0.017453292519943295,0.2,-111.25380396315163
-0.017453292519943295,0.026179938779914945,0.2,-85.81617991072095
-0.017453292519943295,0.03490658503988659,0.2,-66.3961276366756
-0.008726646259971648,-0.03490658503988659,0.2,-21.772880801726508
-0.008726646259971648,-0.026179938779914945,0.2,-39.44742762728592
-0.008726646259971648,-0.017453292519943295,0.2,-67.66615698774417
-0.008726646259971648,-0.008726646259971648,0.2,-115.20046643253471
-0.008726646259971648,0.0,0.2,206.7077
-0.008726646259971648,0.008726646259971648,0.2,-113.20774231225245
-0.008726646259971648,0.017453292519943295,0.2,-69.57160972098171
-0.008726646259971648,0.026179938779914945,0.2,-44.620432880796024
-0.008726646259971648,0.03490658503988659,0.2,-29.709777595967733
0.0,-0.03490658503988659,0.2,30.066573091786797
0.0,-0.026179938779914945,0.2,27.728294948707013
0.0,-0.017453292519943295,0.2,24.914804776524054
0.0,-0.008726646259971648,0.2,21.97846309560434
0.0,0.0,0.2,206.8237
0.0,0.008726646259971648,0.2,18.89108065814371
0.0,0.017453292519943295,0.2,18.236622051035482
0.0,0.026179938779914945,0.2,18.017523728161954
0.0,0.03490658503988659,0.2,18.197507812859907
0.008726646259971648,-0.03490658503988659,0.2,77.97385850061444
0.008726646259971648,-0.026179938779914945,0.2,90.3662515805084
0.008726646259971648,-0.017453292519943295,0.2,112.72293656377174
0.008726646259971648,-0.008726646259971648,0.2,154.07728606600048
0.008726646259971648,0.0,0.2,206.7077
0.008726646259971648,0.008726646259971648,0.2,156.07011018247505
0.008726646259971648,0.017453292519943295,0.2,110.81748381530429
0.008726646259971648,0.026179938779914945,0.2,85.19324628131147
0.008726646259971648,0.03490658503988659,0.2,70.0369617063732
0.017453292519943295,-0.03490658503988659,0.2,114.6602085413223
0.017453292519943295,-0.026179938779914945,0.2,131.5618986218574
0.017453292519943295,-0.017453292519943295,0.2,154.40513080594164
0.017453292519943295,-0.008726646259971648,0.2,185.96366242927382
0.017453292519943295,0.0,0.2,206.5144
0.017453292519943295,0.008726646259971648,0.2,185.6135591558349
0.017453292519943295,0.017453292519943295,0.2,157.64213771901046
0.017453292519943295,0.026179938779914945,0.2,131.88645472749647
0.017453292519943295,0.03490658503988659,0.2,111.96050494541319
0.026179938779914945,-0.03490658503988659,0.2,138.21779668686423
0.026179938779914945,-0.026179938779914945,0.2,154.77871493717265
0.026179938779914945,-0.017453292519943295,0.2,175.48170662213735
0.026179938779914945,-0.008726646259971648,0.2,196.89700589337187
0.026179938779914945,0.0,0.2,206.2516
0.026179938779914945,0.008726646259971648,0.2,195.29730680288318
0.026179938779914945,0.017453292519943295,0.2,177.04183642387542
0.026179938779914945,0.026179938779914945,0.2,159.40702838607697
0.026179938779914945,0.03490658503988659,0.2,141.53888076744565
0.03490658503988659,-0.03490658503988659,0.2,154.92923575238947
0.03490658503988659,-0.026179938779914945,0.2,170.54287342316414
0.03490658503988659,-0.017453292519943295,0.2,187.26451380847143
0.03490658503988659,-0.008726646259971648,0.2,201.08394881416186
0.03490658503988659,0.0,0.2,205.8991
0.03490658503988659,0.008726646259971648,0.2,199.25727115923527
0.03490658503988659,0.017453292519943295,0.2,186.97847191908255
0.03490658503988659,0.026179938779914945,0.2,174.7273047842781
0.03490658503988659,0.03490658503988659,0.2,161.2743681131337
-0.03490658503988659,-0.03490658503988659,0.3,-113.1933053790118
-0.03490658503988659,-0.026179938779914945,0.3,-129.20447784262785
-0.03490658503988659,-0.017453292519943295,0.3,-144.14848284756744
-0.03490658503988659,-0.008726646259971648,0.3,-158.84128570874304
-0.03490658503988659,0.0,0.3,206.3948
-0.03490658503988659,0.008726646259971648,0.3,-160.72189529929216
-0.03490658503988659,0.017453292519943295,0.3,-144.5019974892412
-0.03490658503988659,0.026179938779914945,0.3,-125.07061432043344
-0.03490658503988659,0.03490658503988659,0.3,-106.80090183214956
-0.026179938779914945,-0.03490658503988659,0.3,-93.43708057457279
-0.026179938779914945,-0.026179938779914945,0.3,-113.84197441881976
-0.026179938779914945,-0.017453292519943295,0.3,-134.15549197146876
-0.026179938779914945,-0.008726646259971648,0.3,-154.85813807170098
-0.026179938779914945,0.0,0.3,206.774
-0.026179938779914945,0.008726646259971648,0.3,-156.4634532591513
-0.026179938779914945,0.017453292519943295,0.3,-132.65159632574276
-0.026179938779914945,0.026179938779914945,0.3,-109.18527070188613
-0.026179938779914945,0.03490658503988659,0.3,-89.97560994181073
-0.017453292519943295,-0.03490658503988659,0.3,-63.80540498839972
-0.017453292519943295,-0.026179938779914945,0.3,-86.2800429142874
-0.017453292519943295,-0.017453292519943295,0.3,-114.67023877426222
-0.017453292519943295,-0.008726646259971648,0.3,-145.10390472894863
-0.017453292519943295,0.0,0.3,207.0692
-0.017453292519943295,0.008726646259971648,0.3,-145.49571753240954
-0.017453292519943295,0.017453292519943295,0.3,-111.41803417622702
-0.017453292519943295,0.026179938779914945,0.3,-85.8335959615909
-0.017453292519943295,0.03490658503988659,0.3,-66.32167005752622
-0.008726646259971648,-0.03490658503988659,0.3,-21.798621868291054
-0.008726646259971648,-0.026179938779914945,0.3,-39.477218623286696
-0.008726646259971648,-0.017453292519943295,0.3,-67.75720532693309
-0.008726646259971648,-0.008726646259971648,0.3,-115.37837325185512
-0.008726646259971648,0.0,0.3,207.2887
-0.008726646259971648,0.008726646259971648,0.3,-113.37934937145754
-0.008726646259971648,0.017453292519943295,0.3,-69.57446421356353
-0.008726646259971648,0.026179938779914945,0.3,-44.55055534597474
-0.008726646259971648,0.03490658503988659,0.3,-29.576697156561966
0.0,-0.03490658503988659,0.3,29.87049261152565
0.0,-0.026179938779914945,0.3,27.552255293778813
0.0,-0.017453292519943295,0.3,24.778525535674234
0.0,-0.008726646259971648,0.3,21.902465989451464
0.0,0.0,0.3,207.4138
0.0,0.008726646259971648,0.3,18.97467747491188
0.0,0.017453292519943295,0.3,18.391798413323755
0.0,0.026179938779914945,0.3,18.230050875451756
0.0,0.03490658503988659,0.3,18.452252534667075
0.008726646259971648,-0.03490658503988659,0.3,77.89944233320986
0.008726646259971648,-0.026179938779914945,0.3,90.3327615494728
0.008726646259971648,-0.017453292519943295,0.3,112.74478816256153
0.008726646259971648,-0.008726646259971648,0.3,154.25659283201318
0.008726646259971648,0.0,0.3,207.2887
0.008726646259971648,0.008726646259971648,0.3,156.2555167162185
0.008726646259971648,0.017453292519943295,0.3,110.92752927593108
0.008726646259971648,0.026179938779914945,0.3,85.25952479251725
0.008726646259971648,0.03490658503988659,0.3,70.12136701448377
0.017453292519943295,-0.03490658503988659,0.3,114.64441520371894
0.017453292519943295,-0.026179938779914945,0.3,131.6158021194039
0.017453292519943295,-0.017453292519943295,0.3,154.58845810999452
0.017453292519943295,-0.008726646259971648,0.3,186.37286099677289
0.017453292519943295,0.0,0.3,207.0692
0.017453292519943295,0.008726646259971648,0.3,185.98104819331195
0.017453292519943295,0.017453292519943295,0.3,157.8405627232602
0.017453292519943295,0.026179938779914945,0.3,132.0623490378329
0.017453292519943295,0.03490658503988659,0.3,112.12815013459245
0.026179938779914945,-0.03490658503988659,0.3,138.29825514892076
0.026179938779914945,-0.026179938779914945,0.3,154.96757687111668
0.026179938779914945,-0.017453292519943295,0.3,175.8220202595103
0.026179938779914945,-0.008726646259971648,0.3,197.3405967235146
0.026179938779914945,0.0,0.3,206.774
0.026179938779914945,0.008726646259971648,0.3,195.73528153606432
0.026179938779914945,0.017453292519943295,0.3,177.32591590523626
0.026179938779914945,0.026179938779914945,0.3,159.62428058805034
0.026179938779914945,0.03490658503988659,0.3,141.7597257816828
0.03490658503988659,-0.03490658503988659,0.3,155.1235470392596
0.03490658503988659,-0.026179938779914945,0.3,170.85282052393154
0.03490658503988659,-0.017453292519943295,0.3,187.67232143823924
0.03490658503988659,-0.008726646259971648,0.3,201.59903873320033
0.03490658503988659,0.0,0.3,206.3948
0.03490658503988659,0.008726646259971648,0.3,199.7184291426512
0.03490658503988659,0.017453292519943295,0.3,187.3188067965654
0.03490658503988659,0.026179938779914945,0.3,174.98668404612593
0.03490658503988659,0.03490658503988659,0.3,161.51605052520452
-0.03490658503988659,-0.03490658503988659,0.4,-113.52761572217975
-0.03490658503988659,-0.026179938779914945,0.4,-129.61955582302667
-0.03490658503988659,-0.017453292519943295,0.4,-144.7440570365525
-0.03490658503988659,-0.008726646259971648,0.4,-159.67170100248705
-0.03490658503988659,0.0,0.4,207.3625
-0.03490658503988659,0.008726646259971648,0.4,-161.70519811997545
-0.03490658503988659,0.017453292519943295,0.4,-145.24562048660047
-0.03490658503988659,0.026179938779914945,0.4,-125.58900630420925
-0.03490658503988659,0.03490658503988659,0.4,-107.0879409891995
-0.026179938779914945,-0.03490658503988659,0.4,-93.72680737868238
-0.026179938779914945,-0.026179938779914945,0.4,-114.1717901009904
-0.026179938779914945,-0.017453292519943295,0.4,-134.64725393580147
-0.026179938779914945,-0.008726646259971648,0.4,-155.6452861450231
-0.026179938779914945,0.0,0.4,207.786
-0.026179938779914945,0.008726646259971648,0.4,-157.32334674102526
-0.026179938779914945,0.017453292519943295,0.4,-133.24621947543224
-0.026179938779914945,0.026179938779914945,0.4,-109.48669611602746
-0.026179938779914945,0.03490658503988659,0.4,-90.05454502613945
-0.017453292519943295,-0.03490658503988659,0.4,-64.02373545509069
-0.017453292519943295,-0.026179938779914945,0.4,-86.52513840308721
-0.017453292519943295,-0.017453292519943295,0.4,-114.99668908816474
-0.017453292519943295,-0.008726646259971648,0.4,-145.7636817988926
-0.017453292519943295,0.0,0.4,208.1287
-0.017453292519943295,0.008726646259971648,0.4,-146.23591403553675
-0.017453292519943295,0.017453292519943295,0.4,-111.72938678993268
-0.017453292519943295,0.026179938779914945,0.4,-85.88200494618057
-0.017453292519943295,0.03490658503988659,0.4,-66.21140147930326
-0.008726646259971648,-0.03490658503988659,0.4,-21.925446314081896
-0.008726646259971648,-0.026179938779914945,0.4,-39.58827860443378
-0.008726646259971648,-0.017453292519943295,0.4,-67.91749472554305
-0.008726646259971648,-0.008726646259971648,0.4,-115.70158561877413
-0.008726646259971648,0.0,0.4,208.3844
-0.008726646259971648,0.008726646259971648,0.4,-113.69656196683816
