alpha,beta,mach,CLq [1/rad]
0.03490658503988659,0.0,0.75,212.29539655136603
0.03490658503988659,0.017453292519943295,0.75,184.86861439006745
0.03490658503988659,0.03490658503988659,0.75,149.91462039782647
-0.03490658503988659,-0.03490658503988659,1,-107.86305269117858
-0.03490658503988659,-0.017453292519943295,1,-146.05627223195384
-0.03490658503988659,0.0,1,208.87418193323154
-0.03490658503988659,0.017453292519943295,1,-146.05627223195384
-0.03490658503988659,0.03490658503988659,1,-107.86305269117858
-0.017453292519943295,-0.03490658503988659,1,-62.38309730481466
-0.017453292519943295,-0.017453292519943295,1,-111.72358136539225
-0.017453292519943295,0.0,1,212.06119713265207
-0.017453292519943295,0.017453292519943295,1,-111.72358136539225
-0.017453292519943295,0.03490658503988659,1,-62.38309730481466
0.0,-0.03490658503988659,1,24.7831
0.0,-0.017453292519943295,1,23.4726
0.0,0.0,1,215.2348
0.0,0.017453292519943295,1,23.4726
0.0,0.03490658503988659,1,24.7831
0.017453292519943295,-0.03490658503988659,1,111.94184811724489
0.017453292519943295,-0.017453292519943295,1,158.66173136881758
0.017453292519943295,0.0,1,217.53066397946606
0.017453292519943295,0.017453292519943295,1,158.66173136881758
0.017453292519943295,0.03490658503988659,1,111.94184811724489
0.03490658503988659,-0.03490658503988659,1,157.3990583013725
0.03490658503988659,-0.017453292519943295,1,192.9729744236134
0.03490658503988659,0.0,1,218.89617308566173
0.03490658503988659,0.017453292519943295,1,192.9729744236134
0.03490658503988659,0.03490658503988659,1,157.3990583013725
