alpha,beta,mach,CDq [1/rad]
0.03490658503988659,0.017453292519943295,0.2,8.194588851883703
0.03490658503988659,0.03490658503988659,0.2,10.203072113520664
-0.03490658503988659,-0.03490658503988659,0.5,8.606922295787072
-0.03490658503988659,-0.017453292519943295,0.5,6.761465812947058
-0.03490658503988659,0.0,0.5,-7.007560681586596
-0.03490658503988659,0.017453292519943295,0.5,6.761465812947058
-0.03490658503988659,0.03490658503988659,0.5,8.606922295787072
-0.017453292519943295,-0.03490658503988659,0.5,7.100436666480447
-0.017453292519943295,-0.017453292519943295,0.5,4.390154665390044
-0.017453292519943295,0.0,0.5,-3.5859948174066676
-0.017453292519943295,0.017453292519943295,0.5,4.390156410630688
-0.017453292519943295,0.03490658503988659,0.5,7.100436666480447
0.0,-0.03490658503988659,0.5,6.881283832667936
0.0,-0.017453292519943295,0.5,3.3908280466998133
0.0,0.0,0.5,0.0
0.0,0.017453292519943295,0.5,3.3908280466998133
0.0,0.03490658503988659,0.5,6.881283832667936
0.017453292519943295,-0.03490658503988659,0.5,7.853950993300045
0.017453292519943295,-0.017453292519943295,0.5,5.106053276172951
0.017453292519943295,0.0,0.5,3.739281048385972
0.017453292519943295,0.017453292519943295,0.5,5.106055021413596
0.017453292519943295,0.03490658503988659,0.5,7.853950993300045
0.03490658503988659,-0.03490658503988659,0.5,10.11372142166286
0.03490658503988659,-0.017453292519943295,0.5,8.193044964860965
0.03490658503988659,0.0,0.5,7.578083693880401
0.03490658503988659,0.017453292519943295,0.5,8.193041475442831
0.03490658503988659,0.03490658503988659,0.5,10.11372142166286
-0.03490658503988659,-0.03490658503988659,0.75,8.203942181839233
-0.03490658503988659,-0.017453292519943295,0.75,6.508320308698499
-0.03490658503988659,0.0,0.75,-6.987168905663325
-0.03490658503988659,0.017453292519943295,0.75,6.508320308698499
-0.03490658503988659,0.03490658503988659,0.75,8.203942181839233
-0.017453292519943295,-0.03490658503988659,0.75,6.8472372848289265
-0.017453292519943295,-0.017453292519943295,0.75,4.223233377632049
-0.017453292519943295,0.0,0.75,-3.558503786786659
-0.017453292519943295,0.017453292519943295,0.75,4.223233377632049
-0.017453292519943295,0.03490658503988659,0.75,6.8472372848289265
0.0,-0.03490658503988659,0.75,6.716551228332792
0.0,-0.017453292519943295,0.75,3.326917334326481
0.0,0.0,0.75,0.0
0.0,0.017453292519943295,0.75,3.326917334326481
0.0,0.03490658503988659,0.75,6.716551228332792
0.017453292519943295,-0.03490658503988659,0.75,7.601580095956409
0.017453292519943295,-0.017453292519943295,0.75,4.939463533633631
0.017453292519943295,0.0,0.75,3.675454107563539
0.017453292519943295,0.017453292519943295,0.75,4.939461788658796
0.017453292519943295,0.03490658503988659,0.75,7.601580095956409
0.03490658503988659,-0.03490658503988659,0.75,9.712398023966445
0.03490658503988659,-0.017453292519943295,0.75,7.940558960639732
